column,shap_importance,pair_risk_correlation,shap_importance_norm,pair_corr_abs_norm,column_risk_score
cosine_similarity,2.219859660696006,,1.0,0.0,70.0
manhattan_distance,1.0013687113019516,,0.45109550348240773,0.0,31.576685243768537
overall_similarity,0.8528132994873391,,0.38417442083701425,0.0,26.892209458590994
marital_status_diff,0.8414640653160609,,0.3790618299952492,0.0,26.53432809966744
marital_status_equal,0.6391382946697037,,0.28791833375147274,0.0,20.15428336260309
euclidean_distance,0.5664845604255193,,0.25518935744249077,0.0,17.863255020974353
industry_diff,0.4610421334147906,,0.20768976596936642,0.0,14.53828361785565
education_diff,0.3556458199602946,,0.16021094768161462,0.0,11.214766337713023
education_equal,0.2193373814456133,,0.09880686843818007,0.0,6.916480790672604
sex_equal,0.2120357883197117,,0.09551765459498951,0.0,6.686235821649265
sex_diff,0.16952978939271,,0.07636959776977807,0.0,5.345871843884465
industry_equal,0.0287613942991996,,0.01295640206830997,0.0,0.9069481447816978
industry_match,0.0,,0.0,0.0,0.0
age_match,0.0,,0.0,0.0,0.0
education_match,0.0,,0.0,0.0,0.0
age_diff,0.0,,0.0,0.0,0.0
age_equal,0.0,,0.0,0.0,0.0
