pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,education_match,marital_status_match,sex_match,ethnicity_match,religion_match,overall_similarity
0,1,0.0,0.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
1,1,2.0,2.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
2,1,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
3,1,79.0,4.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
4,1,6.0,6.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
5,1,7.0,7.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
6,1,9.0,9.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
7,1,10.0,10.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
8,1,11.0,11.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
9,1,13.0,13.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
10,1,15.0,15.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
11,1,16.0,16.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
12,1,19.0,19.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
13,1,20.0,20.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
14,1,24.0,24.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
15,1,26.0,26.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
16,1,30.0,30.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
17,1,60.0,31.0,10.0,10.0,1.0,10.0,0,1,1,1,1,1,0.8333333333333334
18,1,33.0,33.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
19,1,34.0,34.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
20,1,38.0,38.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0
