anon_id,max_attack_score,mean_attack_score,pair_count,risk_level
0.0,0.9661696369648203,0.9661696369648203,1,critical
1.0,0.9150146560030383,0.9150146560030383,1,low
2.0,0.956760936539539,0.956760936539539,1,medium
3.0,0.9129807822731141,0.9129807822731141,1,low
4.0,0.9155164335230822,0.9155164335230822,1,low
5.0,0.9648038532570459,0.9648038532570459,1,high
6.0,0.966098659378923,0.966098659378923,1,critical
7.0,0.7370822797898874,0.7370822797898874,1,low
8.0,0.9209601674568321,0.9209601674568321,1,low
9.0,0.9609221137629054,0.9609221137629054,1,high
10.0,0.9565001873379005,0.9565001873379005,1,medium
11.0,0.6849721416648858,0.6849721416648858,1,low
12.0,0.9522564356133129,0.9522564356133129,1,medium
13.0,0.9554558054196282,0.9554558054196282,1,medium
14.0,0.9583719978321499,0.9583719978321499,1,medium
15.0,0.9539253853329868,0.9539253853329868,1,medium
16.0,0.46817033848788253,0.46817033848788253,1,low
17.0,0.9443773320711623,0.9443773320711623,1,medium
18.0,0.8779519948517557,0.8779519948517557,1,low
19.0,0.9063838062840451,0.9063838062840451,1,low
20.0,0.9610378279224321,0.9610378279224321,1,high
21.0,0.957360167541894,0.957360167541894,1,medium
22.0,0.9389667899708289,0.9389667899708289,1,medium
23.0,0.9564351245704041,0.9564351245704041,1,medium
24.0,0.6696690295033108,0.6696690295033108,1,low
25.0,0.7936216523606291,0.7936216523606291,1,low
26.0,0.9283451603666396,0.9283451603666396,1,low
27.0,0.9325099131899982,0.9325099131899982,1,low
28.0,0.24397042354905277,0.24397042354905277,1,low
29.0,0.9518421113966934,0.9518421113966934,1,medium
30.0,0.8948729283113281,0.8948729283113281,1,low
31.0,0.8405827915330262,0.8405827915330262,1,low
32.0,0.39128330201364997,0.39128330201364997,1,low
33.0,0.9148815027984067,0.9148815027984067,1,low
34.0,0.9663707716669134,0.9663707716669134,1,critical
35.0,0.9655695196177355,0.9655695196177355,1,high
36.0,0.9427263163596274,0.9427263163596274,1,medium
37.0,0.828572705403312,0.828572705403312,1,low
38.0,0.26129944253546694,0.26129944253546694,1,low
39.0,0.9577048433770288,0.9577048433770288,1,medium
40.0,0.06193308394830096,0.06193308394830096,1,low
41.0,0.26428273370152233,0.26428273370152233,1,low
42.0,0.9606394595924416,0.9606394595924416,1,high
43.0,0.9521068457780576,0.9521068457780576,1,medium
44.0,0.9445104947606048,0.9445104947606048,1,medium
45.0,0.8265686980810728,0.8265686980810728,1,low
46.0,0.9548071175843319,0.9548071175843319,1,medium
47.0,0.9615737187835888,0.9615737187835888,1,high
48.0,0.894388367391835,0.894388367391835,1,low
49.0,0.828572705403312,0.828572705403312,1,low
50.0,0.8979024192625774,0.8979024192625774,1,low
51.0,0.9654624068381911,0.9654624068381911,1,high
52.0,0.9379721302875451,0.9379721302875451,1,medium
53.0,0.9255126220793182,0.9255126220793182,1,low
54.0,0.9332990425018344,0.9332990425018344,1,medium
55.0,0.9639548662555288,0.9639548662555288,1,high
56.0,0.18865700067911792,0.18865700067911792,1,low
57.0,0.9501950675670404,0.9501950675670404,1,medium
58.0,0.9216282385763482,0.9216282385763482,1,low
59.0,0.9291611852655844,0.9291611852655844,1,low
60.0,0.9553249495003259,0.9553249495003259,1,medium
61.0,0.8520333180149544,0.8520333180149544,1,low
62.0,0.9615262486627709,0.9615262486627709,1,high
63.0,0.9294762004915135,0.9294762004915135,1,low
64.0,0.7355247987859443,0.7355247987859443,1,low
65.0,0.9532586161828397,0.9532586161828397,1,medium
66.0,0.9512833484011164,0.9512833484011164,1,medium
67.0,0.8990683961525013,0.8990683961525013,1,low
68.0,0.38799477511755937,0.38799477511755937,1,low
69.0,0.8708676505733347,0.8708676505733347,1,low
70.0,0.95840297525984,0.95840297525984,1,medium
71.0,0.9535351980502725,0.9535351980502725,1,medium
72.0,0.7516316566931018,0.7516316566931018,1,low
73.0,0.9472701178232866,0.9472701178232866,1,medium
74.0,0.9630724274030463,0.9630724274030463,1,high
75.0,0.7681390886217279,0.7681390886217279,1,low
76.0,0.914978992308712,0.914978992308712,1,low
77.0,0.9552352865484209,0.9552352865484209,1,medium
78.0,0.9214662589481636,0.9214662589481636,1,low
79.0,0.7990708334299249,0.7990708334299249,1,low
80.0,0.9559072529450908,0.9559072529450908,1,medium
81.0,0.9606079858538271,0.9606079858538271,1,high
82.0,0.9367151917984423,0.9367151917984423,1,medium
83.0,0.9664573890082856,0.9664573890082856,1,critical
84.0,0.4761731967277438,0.4761731967277438,1,low
85.0,0.9608308392101113,0.9608308392101113,1,high
86.0,0.95874694293284,0.95874694293284,1,medium
87.0,0.9659112448364001,0.9659112448364001,1,high
88.0,0.9272651599607241,0.9272651599607241,1,low
89.0,0.9462060836302149,0.9462060836302149,1,medium
90.0,0.8658090424097313,0.8658090424097313,1,low
91.0,0.927582542853893,0.927582542853893,1,low
92.0,0.9149861807553181,0.9149861807553181,1,low
93.0,0.8985207785546283,0.8985207785546283,1,low
94.0,0.965346072004914,0.965346072004914,1,high
95.0,0.9063838062840451,0.9063838062840451,1,low
96.0,0.9666169069563418,0.9666169069563418,1,critical
97.0,0.8830239571881698,0.8830239571881698,1,low
98.0,0.966098659378923,0.966098659378923,1,critical
99.0,0.26129944253546694,0.26129944253546694,1,low
