pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,industry_match,overall_similarity,industry_diff,industry_equal,education_match,attack_score
0,1,0.0,0.0,4.242640687119285,6.0,0.9862393362677776,4.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.9661696369648203
1,1,1.0,1.0,2.23606797749979,3.0,0.9932659166648444,2.0,0.0,0.0,1,1.0,0,0,0.0,0.2,0.0,0.0,0.0,0.9150146560030383
2,1,2.0,2.0,85212.0002933859,85220.0,-0.1541512376585392,7.0,0.0,1.0,0,0.0,1,0,0.0,0.2,85212.0,0.0,0.0,0.956760936539539
3,1,3.0,3.0,7.0,7.0,0.9826786937727112,7.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.9129807822731141
4,1,4.0,4.0,1.0,1.0,0.9486832980505138,0.0,0.0,1.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0,0.9155164335230822
5,1,5.0,5.0,2.449489742783178,4.0,0.9767725810110088,1.0,0.0,2.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.9648038532570459
6,1,6.0,6.0,5.196152422706632,7.0,0.9621404708847278,5.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.966098659378923
7,1,7.0,7.0,35277.00001417354,35278.0,0.9999998621663828,0.0,1.0,1.0,0,0.0,1,0,0.0,0.4,35277.0,0.0,0.0,0.7370822797898874
8,1,8.0,8.0,11.0,11.0,-0.0641500299099584,11.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.9209601674568321
9,1,9.0,9.0,84231.00015433748,84237.0,-0.1168882961107229,5.0,0.0,1.0,0,0.0,1,0,0.0,0.2,84231.0,0.0,0.0,0.9609221137629054
10,1,10.0,10.0,29310.000307062437,29316.0,0.9999997392532036,4.0,0.0,1.0,0,1.0,0,0,0.0,0.0,29310.0,0.0,0.0,0.9565001873379005
11,1,11.0,11.0,16621.000030082425,16622.0,0.9999761700708184,0.0,1.0,1.0,0,0.0,1,0,0.0,0.4,16621.0,0.0,0.0,0.6849721416648858
12,1,12.0,12.0,4.123105625617661,5.0,0.9959873727522464,4.0,0.0,0.0,1,1.0,0,0,0.0,0.2,0.0,0.0,0.0,0.9522564356133129
13,1,13.0,13.0,4.123105625617661,5.0,0.9944577973205988,4.0,0.0,0.0,1,1.0,0,0,0.0,0.2,0.0,0.0,0.0,0.9554558054196282
14,1,14.0,14.0,6.324555320336759,8.0,0.9689627902499088,6.0,0.0,2.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0,0.9583719978321499
15,1,15.0,15.0,25114.000039818427,25116.0,-0.0953859579897984,0.0,1.0,1.0,0,1.0,0,0,0.0,0.2,25114.0,0.0,0.0,0.9539253853329868
16,1,16.0,16.0,22891.000021842647,22892.0,0.999999919208692,0.0,1.0,0.0,1,1.0,0,0,0.0,0.4,22891.0,0.0,0.0,0.46817033848788253
17,1,17.0,17.0,14303.000349577009,14307.0,-0.0963271844731001,1.0,0.0,3.0,0,0.0,1,0,0.0,0.2,14303.0,0.0,0.0,0.9443773320711623
18,1,18.0,18.0,95112.00004731264,95115.0,-0.0616418496610768,3.0,0.0,0.0,1,0.0,1,0,0.0,0.4,95112.0,0.0,0.0,0.8779519948517557
19,1,19.0,19.0,47998.000104171006,48002.0,0.999999998304386,3.0,0.0,0.0,1,1.0,0,0,0.0,0.2,47998.0,0.0,0.0,0.9063838062840451
20,1,20.0,20.0,84121.00005943819,84125.0,-0.0969750175179986,3.0,0.0,0.0,1,1.0,0,0,0.0,0.2,84121.0,0.0,0.0,0.9610378279224321
21,1,21.0,21.0,3.1622776601683795,4.0,0.9516357291821832,1.0,0.0,3.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0,0.957360167541894
22,1,22.0,22.0,3.1622776601683795,4.0,0.993263139087243,3.0,0.0,1.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0,0.9389667899708289
23,1,23.0,23.0,4.47213595499958,6.0,0.9946351544273336,4.0,0.0,2.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0,0.9564351245704041
24,1,24.0,24.0,156.01281998605114,158.0,0.9999999894471204,0.0,1.0,2.0,0,0.0,1,0,0.0,0.4,156.0,0.0,0.0,0.6696690295033108
25,1,25.0,25.0,1.4142135623730951,2.0,0.996709240304503,1.0,0.0,0.0,1,1.0,0,0,0.0,0.2,0.0,0.0,0.0,0.7936216523606291
26,1,26.0,26.0,11012.000090810025,11014.0,-0.0804705716803226,1.0,0.0,1.0,0,0.0,1,0,0.0,0.2,11012.0,0.0,0.0,0.9283451603666396
27,1,27.0,27.0,1.4142135623730951,2.0,0.9932885906040269,0.0,1.0,1.0,0,1.0,0,0,0.0,0.2,0.0,0.0,0.0,0.9325099131899982
28,1,28.0,28.0,719.0,719.0,0.999999999996114,0.0,1.0,0.0,1,0.0,1,0,0.0,0.6,719.0,0.0,0.0,0.24397042354905277
29,1,29.0,29.0,7.280109889280518,9.0,0.964056618014988,7.0,0.0,2.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0,0.9518421113966934
30,1,30.0,30.0,3.1622776601683795,4.0,0.9975694083904584,3.0,0.0,1.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0,0.8948729283113281
31,1,31.0,31.0,1.4142135623730951,2.0,0.944911182523068,1.0,0.0,0.0,1,1.0,0,0,0.0,0.2,0.0,0.0,0.0,0.8405827915330262
32,1,32.0,32.0,36270.00034463744,36275.0,0.999999999430461,5.0,0.0,0.0,1,0.0,1,0,0.0,0.4,36270.0,0.0,0.0,0.39128330201364997
33,1,33.0,33.0,5.0990195135927845,6.0,0.9973600960790272,5.0,0.0,0.0,1,1.0,0,0,0.0,0.2,0.0,0.0,0.0,0.9148815027984067
34,1,34.0,34.0,47818.00021958258,47825.0,-0.0814686568732121,4.0,0.0,2.0,0,1.0,0,0,0.0,0.0,47818.0,0.0,0.0,0.9663707716669134
35,1,35.0,35.0,43303.00012701198,43308.0,-0.0814384705592432,3.0,0.0,1.0,0,1.0,0,0,0.0,0.0,43303.0,0.0,0.0,0.9655695196177355
36,1,36.0,36.0,7.071067811865476,8.0,0.9258200997725514,7.0,0.0,1.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0,0.9427263163596274
37,1,37.0,37.0,1.0,1.0,0.9971391490106832,0.0,1.0,1.0,0,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.828572705403312
38,1,38.0,38.0,1.0,1.0,0.9997128499581862,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.26129944253546694
39,1,39.0,39.0,49223.00037584056,49230.0,-0.0761036699017625,6.0,0.0,1.0,0,0.0,1,0,0.0,0.2,49223.0,0.0,0.0,0.9577048433770288
40,1,40.0,40.0,2.0,2.0,0.9968410582470292,2.0,0.0,0.0,1,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.06193308394830096
41,1,41.0,41.0,30092.00001661571,30093.0,0.999999937412584,1.0,0.0,0.0,1,0.0,1,0,0.0,0.4,30092.0,0.0,0.0,0.26428273370152233
42,1,42.0,42.0,47820.00010455876,47824.0,-0.0969742159989941,3.0,0.0,0.0,1,1.0,0,0,0.0,0.2,47820.0,0.0,0.0,0.9606394595924416
43,1,43.0,43.0,1.7320508075688772,3.0,0.991117008818872,1.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.9521068457780576
44,1,44.0,44.0,7.280109889280518,9.0,0.6491134836118732,7.0,0.0,2.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0,0.9445104947606048
45,1,45.0,45.0,9.055385138137416,10.0,0.9178146529232246,9.0,0.0,1.0,0,0.0,1,0,0.0,0.2,0.0,0.0,0.0,0.8265686980810728
46,1,46.0,46.0,1.7320508075688772,3.0,0.978231976089037,1.0,0.0,1.0,0,1.0,0,0,0.0,0.0,0.0,0.0,0.0,0.9548071175843319
47,1,47.0,47.0,85493.00009942334,85498.0,-0.0896261787594765,4.0,0.0,1.0,0,0.0,1,0,0.0,0.2,85493.0,0.0,0.0,0.9615737187835888
48,1,48.0,48.0,30920.000420439843,30926.0,0.9999999997549752,5.0,0.0,0.0,1,1.0,0,0,0.0,0.2,30920.0,0.0,0.0,0.894388367391835
49,1,49.0,49.0,1.0,1.0,0.9971391490106832,0.0,1.0,1.0,0,0.0,1,0,0.0,0.4,0.0,0.0,0.0,0.828572705403312
