pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,industry_match,overall_similarity,industry_diff,industry_equal,education_match,age_diff,age_equal,anon_index,aux_index,attack_score
25,1,25.0,25.0,1.4142135623730951,2.0,0.996709240304503,1.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.7710247552984075
26,1,26.0,26.0,11012.000090810025,11014.0,-0.0804705716803226,1.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,11012.0,0.0,0.0,0.0,0.0,26.0,26.0,0.9241924102373722
27,1,27.0,27.0,1.4142135623730951,2.0,0.9932885906040269,0.0,1.0,1.0,0,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,27.0,27.0,0.9259915300826576
28,1,28.0,28.0,719.0,719.0,0.999999999996114,0.0,1.0,0.0,1,0.0,1,0.0,0.0,0.6,719.0,0.0,0.0,0.0,0.0,28.0,28.0,0.27019006185140076
29,1,29.0,29.0,7.280109889280518,9.0,0.964056618014988,7.0,0.0,2.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,29.0,29.0,0.9478690423992077
30,1,30.0,30.0,3.1622776601683795,4.0,0.9975694083904584,3.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,30.0,30.0,0.9180210553292701
31,1,31.0,31.0,1.4142135623730951,2.0,0.944911182523068,1.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,31.0,31.0,0.8103458471813004
32,1,32.0,32.0,36270.00034463744,36275.0,0.999999999430461,5.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,36270.0,0.0,0.0,0.0,0.0,32.0,32.0,0.41142156851270784
33,1,33.0,33.0,5.0990195135927845,6.0,0.9973600960790272,5.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,33.0,33.0,0.8612267652333179
34,1,34.0,34.0,47818.00021958258,47825.0,-0.0814686568732121,4.0,0.0,2.0,0,1.0,0,0.0,0.0,0.0,47818.0,0.0,0.0,0.0,0.0,34.0,34.0,0.9312550493988586
35,1,35.0,35.0,43303.00012701198,43308.0,-0.0814384705592432,3.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,43303.0,0.0,0.0,0.0,0.0,35.0,35.0,0.9440848783767567
36,1,36.0,36.0,7.071067811865476,8.0,0.9258200997725514,7.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,36.0,36.0,0.9485960268823237
