anon_index,max_attack_score,mean_attack_score,pair_count,risk_level
0.0,0.9515001599588838,0.9515001599588838,1,critical
1.0,0.864219033594272,0.864219033594272,1,low
2.0,0.9331879609601895,0.9331879609601895,1,medium
3.0,0.7878929456195719,0.7878929456195719,1,low
4.0,0.9237717208050485,0.9237717208050485,1,medium
5.0,0.9407455128073732,0.9407455128073732,1,high
6.0,0.9514077919304665,0.9514077919304665,1,critical
7.0,0.7429338319027177,0.7429338319027177,1,low
8.0,0.8615074152438685,0.8615074152438685,1,low
9.0,0.9320465257103908,0.9320465257103908,1,medium
10.0,0.940711372202964,0.940711372202964,1,high
11.0,0.7012004078939628,0.7012004078939628,1,low
12.0,0.9153683141222472,0.9153683141222472,1,low
13.0,0.9198314161284626,0.9198314161284626,1,medium
14.0,0.9493676431835714,0.9493676431835714,1,high
15.0,0.9204363543475743,0.9204363543475743,1,medium
16.0,0.37922356772520005,0.37922356772520005,1,low
17.0,0.9270804573600323,0.9270804573600323,1,medium
18.0,0.8582023104974755,0.8582023104974755,1,low
19.0,0.8660047802391256,0.8660047802391256,1,low
20.0,0.9307675163409913,0.9307675163409913,1,medium
21.0,0.9423194536534106,0.9423194536534106,1,high
22.0,0.9424070066942044,0.9424070066942044,1,high
23.0,0.947531571182148,0.947531571182148,1,high
24.0,0.7233858252021652,0.7233858252021652,1,low
25.0,0.7710247552984075,0.7710247552984075,1,low
26.0,0.9241924102373722,0.9241924102373722,1,medium
27.0,0.9259915300826576,0.9259915300826576,1,medium
28.0,0.27019006185140076,0.27019006185140076,1,low
29.0,0.9478690423992077,0.9478690423992077,1,high
30.0,0.9180210553292701,0.9180210553292701,1,low
31.0,0.8103458471813004,0.8103458471813004,1,low
32.0,0.41142156851270784,0.41142156851270784,1,low
33.0,0.8612267652333179,0.8612267652333179,1,low
34.0,0.9312550493988586,0.9312550493988586,1,medium
35.0,0.9440848783767567,0.9440848783767567,1,high
36.0,0.9485960268823237,0.9485960268823237,1,high
37.0,0.8202879437717611,0.8202879437717611,1,low
38.0,0.2977469722247344,0.2977469722247344,1,low
39.0,0.9370144707198061,0.9370144707198061,1,medium
40.0,0.07234130672047417,0.07234130672047417,1,low
41.0,0.32260792025846063,0.32260792025846063,1,low
42.0,0.928093385719813,0.928093385719813,1,medium
43.0,0.9405641681035907,0.9405641681035907,1,medium
44.0,0.947304596859194,0.947304596859194,1,high
45.0,0.9443112846804449,0.9443112846804449,1,high
46.0,0.9424234941100624,0.9424234941100624,1,high
47.0,0.9311165543344263,0.9311165543344263,1,medium
48.0,0.8560372449979295,0.8560372449979295,1,low
49.0,0.8202879437717611,0.8202879437717611,1,low
50.0,0.9158234790801772,0.9158234790801772,1,low
51.0,0.8814963895549752,0.8814963895549752,1,low
52.0,0.9191059047463104,0.9191059047463104,1,low
53.0,0.9175059907912693,0.9175059907912693,1,low
54.0,0.9398125787439392,0.9398125787439392,1,medium
55.0,0.946729249134779,0.946729249134779,1,high
56.0,0.24851979310767222,0.24851979310767222,1,low
57.0,0.9200260863409725,0.9200260863409725,1,medium
58.0,0.9329885787621581,0.9329885787621581,1,medium
59.0,0.8643452834538405,0.8643452834538405,1,low
60.0,0.9394543835098935,0.9394543835098935,1,medium
61.0,0.8125338352144779,0.8125338352144779,1,low
62.0,0.9321477531338279,0.9321477531338279,1,medium
63.0,0.7837693205390571,0.7837693205390571,1,low
64.0,0.5177235705612404,0.5177235705612404,1,low
65.0,0.9417375658048918,0.9417375658048918,1,high
66.0,0.936339888364997,0.936339888364997,1,medium
67.0,0.8973869597291766,0.8973869597291766,1,low
68.0,0.37944365836146177,0.37944365836146177,1,low
69.0,0.8423845393151158,0.8423845393151158,1,low
70.0,0.9190629552008961,0.9190629552008961,1,low
71.0,0.901196693331081,0.901196693331081,1,low
72.0,0.5841872746129716,0.5841872746129716,1,low
73.0,0.949954766117694,0.949954766117694,1,critical
74.0,0.9377567954809117,0.9377567954809117,1,medium
75.0,0.6412984562540847,0.6412984562540847,1,low
76.0,0.8612808360039209,0.8612808360039209,1,low
77.0,0.9144972707187412,0.9144972707187412,1,low
78.0,0.8506498488714315,0.8506498488714315,1,low
79.0,0.747555675284528,0.747555675284528,1,low
80.0,0.8966441814170666,0.8966441814170666,1,low
81.0,0.9318273371603293,0.9318273371603293,1,medium
82.0,0.92751542420085,0.92751542420085,1,medium
83.0,0.9294789748344391,0.9294789748344391,1,medium
84.0,0.481916767914315,0.481916767914315,1,low
85.0,0.9329637083149005,0.9329637083149005,1,medium
86.0,0.926264578769727,0.926264578769727,1,medium
87.0,0.9284581859830635,0.9284581859830635,1,medium
88.0,0.9376670093621348,0.9376670093621348,1,medium
89.0,0.9398294624813816,0.9398294624813816,1,medium
90.0,0.8425297943525026,0.8425297943525026,1,low
91.0,0.9342531137289892,0.9342531137289892,1,medium
92.0,0.8643737472159932,0.8643737472159932,1,low
93.0,0.7749339180242675,0.7749339180242675,1,low
94.0,0.9508584461482738,0.9508584461482738,1,critical
95.0,0.8639407239395904,0.8639407239395904,1,low
96.0,0.9480502473644274,0.9480502473644274,1,high
97.0,0.913626603565953,0.913626603565953,1,low
98.0,0.9515001599588838,0.9515001599588838,1,critical
99.0,0.2977469722247344,0.2977469722247344,1,low
