aux_index,anon_index,label,top_feature,top_feature_shap_value,shap__age_diff,shap__age_ratio,shap__age_close,shap__education_diff,shap__education_ratio,shap__education_close,shap__industry_diff,shap__industry_ratio,shap__industry_close,shap__marital_status_diff,shap__marital_status_ratio,shap__marital_status_close,shap__sex_diff,shap__sex_ratio,shap__sex_close,shap__overall_similarity
319,411,0,overall_similarity,-4.198004671134072,-0.2730935534046242,-0.18057870614442761,0.0001133787415694989,-0.050202063426798775,-0.042262231534555675,-0.08180831811189583,-0.05086799184653802,-0.07171035257022851,0.0,-0.05381508990917047,-0.05954128121936309,-0.02151638802746435,-0.0026164484648904455,-0.0011355809383801732,-0.0031506607340386706,-4.198004671134072
452,549,0,overall_similarity,-4.400073903086063,-0.5995920775454414,0.14610195878993956,0.0001133787415694989,-0.050660098279594036,-0.023150993293294078,-0.08923093093739926,-0.04317586283267573,-0.07165960441514052,0.0,-0.08476970463334782,0.0010409403364665037,-0.03389985848101213,0.000737406443292157,0.000503826267159556,0.0010062776153533868,-4.400073903086063
460,714,1,overall_similarity,4.517092202065876,0.5318690034638458,0.2742673887636276,0.00011488315767447816,0.0560528757135347,0.008834575508727493,-0.06442269767493233,-0.04676741958056852,-0.1150937625659387,0.0,0.0030923126683239425,0.0031311663247679373,0.0012246150921253081,0.0007377004184836257,0.0005069297917652286,0.0010062776153533868,4.517092202065876
20,270,0,overall_similarity,-4.4032664155871375,-0.24795811040845409,0.09279483052557733,0.0001133787415694989,-0.009995807426777392,0.005350705085208175,-0.0828065139504569,-0.006824153421861741,-0.03572569081994898,0.0,-0.08476970463334782,-0.08364383479260433,-0.03389985848101213,0.000737406443292157,0.000503826267159556,0.0010062776153533868,-4.4032664155871375
299,83,1,overall_similarity,3.3477089618681664,-0.6463449210612578,0.27449612643566645,0.00011318449555936785,0.09472441989866247,-0.043170977970463674,0.5656744756932537,-0.043651114553874285,-0.030962358662842755,0.0,0.0030923126683239425,0.0031084715576075827,0.0011778440933651873,0.037306514449084734,0.016397610844689152,0.016707649579806354,3.3477089618681664
232,552,0,overall_similarity,-4.29933707600459,-0.6025036125828651,-0.30451831768265897,0.0001133787415694989,-0.01580814048154423,0.005775695519274492,-0.0757861108105597,-0.06772250613807455,0.11476669232864406,0.0,0.0006643838260391421,0.0006611517807380553,0.0002533161323528617,-0.0026164484648904455,-0.0011355809383801732,-0.0031506607340386706,-4.29933707600459
1171,255,1,overall_similarity,3.261969519629567,-0.5764112940372754,0.1373066818333631,0.00011318449555936785,-0.005310325432219134,0.01988145927201666,-0.08255559274233831,0.005580709526831064,0.2123047430655399,0.0,0.0030923126683239425,0.0031311663247679373,0.0012246150921253081,0.0007377004184836257,0.0005069297917652286,0.0010062776153533868,3.261969519629567
852,792,1,overall_similarity,4.559171068100389,-0.6015466857210138,-0.44617460374133755,0.00011318449555936785,-0.0021935236128625664,0.022064040537800554,-0.09276909885456797,0.06242511470556709,0.003458971225605733,0.0,0.0012841623775385537,0.0012991774627636775,0.000501260080246388,0.0007377004184836257,0.0005069297917652286,0.0010062776153533868,4.559171068100389
236,516,1,overall_similarity,3.822689784300158,0.6535710244426695,0.1959915099691199,0.00011488315767447816,-0.04079265203240566,-0.010598311778926154,-0.06651745698498072,0.015242515045019972,0.22924337653810173,0.0,0.0030923126683239425,0.0031311663247679373,0.0012246150921253081,0.0007377004184836257,0.0005069297917652286,0.0010062776153533868,3.822689784300158
593,772,0,overall_similarity,-4.317251653878327,-0.5635255959810498,0.09447809914174753,0.0001133787415694989,0.052088689138707754,-0.027229349662597158,-0.03034883160091269,-0.032675056917425185,-0.06762842237775481,0.0,-0.08476970463334782,-0.08362114002544399,-0.033853087482252006,0.002369042242552773,-0.004308032439892646,-0.005575280716276712,-4.317251653878327
580,890,1,overall_similarity,3.7329489620133782,1.360807134037984,0.2828068469083763,-4.189566513077307e-05,-0.06899323843815545,-0.026127213865472208,-0.07622077364817008,0.4367080658923238,-0.0626821987050958,0.0,0.0030923126683239425,0.0030246522175620062,0.0010051032046111419,0.00073761826103125,0.000506062447572974,0.023712599168992692,3.7329489620133782
261,74,1,overall_similarity,4.731276078161484,-0.6370169322500763,0.2573323355497228,0.00011318449555936785,0.11453471111596907,-0.044450027863651556,0.827180869946571,-0.03557704017933617,0.0226721979517459,0.0,0.0030923126683239425,0.0031084715576075827,0.0011778440933651873,0.0033422135047261148,0.0016683749185570102,0.001945310054827365,4.731276078161484
936,153,0,overall_similarity,1.9008164782940566,-0.6109165130558172,-1.0890784345804663,0.00011318449555936785,-0.01712920064071492,0.010889638514153654,-0.1081739893821462,0.06480673569731944,-0.013271440448920188,0.0,0.0012841623775385537,0.0016874433486691871,0.000501260080246388,0.0007377004184836257,0.0005069297917652286,0.0010062776153533868,1.9008164782940566
