feature,mean_abs_shap
overall_similarity,4.0498275042994605
age_diff,0.6841240504969099
age_ratio,0.36762277492290557
education_close,0.14982937546208572
industry_ratio,0.09197764748319115
education_diff,0.08244660242443415
industry_diff,0.0712198859729933
education_ratio,0.023005355659955058
marital_status_diff,0.021538192170235972
marital_status_ratio,0.018498618822274868
marital_status_close,0.00872247151017769
sex_close,0.003220814650979536
sex_diff,0.0024769322217843832
sex_ratio,0.001575108184383409
age_close,0.0001493931845539347
industry_close,0.0
