aux_index,anon_index,label,age_diff,age_ratio,age_close,education_diff,education_ratio,education_close,industry_diff,industry_ratio,industry_close,marital_status_diff,marital_status_ratio,marital_status_close,sex_diff,sex_ratio,sex_close,overall_similarity
734,649,0,0.4358974358974359,0.5641025641025641,0,0.6153846153846154,0.38461538461538464,0,0.9992473421770628,0.0007526578229372471,0,0.5,0.5,0,1.0,0.0,0,0.28989412130817716
1280,749,0,0.10294117647058823,1.1147540983606556,0,0.6153846153846154,0.38461538461538464,0,,,0,0.5,0.5,0,0.5,0.5,0,0.45633484162895926
608,866,0,0.24,0.76,0,0.7,0.3,0,0.9999593677623827,4.063223761732559e-05,0,1.0,0.0,0,1.0,0.0,0,0.21200812644752345
95,288,0,0.49122807017543857,0.5087719298245614,0,0.7692307692307693,0.23076923076923078,0,0.9999756690997567,2.4330900243309002e-05,0,0.0,1.0,1,0.0,1.0,1,0.5479130982988071
859,141,0,0.24242424242424243,1.32,0,0.8181818181818182,0.18181818181818182,0,0.9978738483345145,0.002126151665485471,0,1.0,0.0,0,1.0,0.0,0,0.18830401821188497
867,366,1,0.01818181818181818,0.9818181818181818,0,0.7,0.3,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6563636363636364
404,180,0,1.0,,0,,,0,,,0,0.5,2.0,0,1.0,0.0,0,0.1
937,892,1,0.0,1.0,1,0.8181818181818182,0.18181818181818182,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6363636363636364
542,437,1,0.041666666666666664,0.9583333333333334,0,0.625,0.375,0,,,0,0.0,1.0,1,0.0,1.0,1,0.6666666666666667
878,999,0,0.2962962962962963,1.4210526315789473,0,0.875,0.125,0,,,0,0.0,1.0,1,0.5,0.5,0,0.46574074074074073
728,187,1,0.0,1.0,1,0.7857142857142857,0.21428571428571427,0,0.999906528952657,9.347104734308548e-05,0,0.0,1.0,1,0.0,1.0,1,0.6428758370666114
