pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,birth_year_diff,birth_year_equal,birth_month_diff,birth_month_equal,education_match,marital_status_match,sex_match,ethnicity_match,religion_match,overall_similarity
122,0,,,36.78314831549904,53.0,0.9273658441273741,26.0,0,26.0,0,1.0,0,1,0,1,1,1,0.5
153,0,,,10.63014581273465,15.0,0.9943932943270188,8.0,0,7.0,0,0.0,1,0,1,1,1,0,0.5
139,0,,,4.0,4.0,0.9847836031767523,0.0,1,0.0,1,4.0,0,0,1,1,0,1,0.625
117,0,,,98.20386957752734,106.0,0.2526082621640158,2.0,0,98.0,0,6.0,0,0,1,0,0,0,0.125
58,1,35.0,35.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
147,0,,,12.083045973594572,18.0,0.9910023202511883,8.0,0,9.0,0,1.0,0,0,0,1,1,1,0.375
9,1,13.0,13.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
88,0,,,98.06630410084801,103.0,0.2308490609119428,2.0,0,98.0,0,3.0,0,1,0,1,1,1,0.5
25,1,47.0,47.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
133,0,,,33.421549934136806,49.0,0.9484901053352495,18.0,0,28.0,0,3.0,0,0,1,1,1,1,0.5
52,1,23.0,23.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
109,0,,,10.816653826391969,17.0,0.8478227519967948,7.0,0,8.0,0,2.0,0,0,1,1,1,1,0.5
3,1,79.0,4.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
104,0,,,13.45362404707371,19.0,0.9879592565152756,10.0,0,9.0,0,0.0,1,0,1,1,0,1,0.5
29,1,56.0,56.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
5,1,7.0,7.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
21,1,40.0,40.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
54,1,27.0,27.0,5.0,5.0,0.9985973798550969,0.0,1,0.0,1,5.0,0,1,1,1,1,1,0.875
60,1,37.0,37.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
105,0,,,15.556349186104045,22.0,0.9831493711075876,11.0,0,11.0,0,0.0,1,0,1,1,1,0,0.5
30,1,60.0,60.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
87,0,,,20.518284528683193,29.0,0.4087700137316487,15.0,0,14.0,0,0.0,1,0,1,1,1,1,0.625
22,1,43.0,43.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
119,0,,,4.123105625617661,5.0,0.9989165893910794,1.0,0,0.0,1,4.0,0,0,1,0,1,1,0.5
48,1,17.0,17.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
75,1,68.0,68.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
65,1,48.0,48.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
126,0,,,5.0990195135927845,8.0,0.9987215053808163,4.0,0,3.0,0,1.0,0,1,0,1,0,1,0.375
43,1,1.0,1.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
78,0,,,6.48074069840786,10.0,0.9975914847443917,4.0,0,5.0,0,1.0,0,0,1,1,0,1,0.375
91,0,,,10.63014581273465,15.0,0.9920203014953938,8.0,0,7.0,0,0.0,1,0,1,0,1,1,0.5
100,0,,,76.89603370785778,99.0,0.6360659722080415,27.0,0,72.0,0,0.0,1,1,0,1,1,1,0.625
11,1,16.0,16.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
121,0,,,19.79898987322333,28.0,0.9726228778947068,14.0,0,14.0,0,0.0,1,0,0,1,1,1,0.5
45,1,8.0,8.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,0,1,1,1,0.875
93,0,,,94.26027795418386,101.0,0.3017071549418645,7.0,0,94.0,0,0.0,1,0,0,1,0,0,0.25
74,1,67.0,67.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
152,0,,,54.46099521676041,78.0,0.8249288832944606,39.0,0,38.0,0,1.0,0,0,1,1,1,1,0.5
148,0,,,1.0,1.0,0.9982776033569811,0.0,1,0.0,1,1.0,0,1,1,1,0,0,0.625
20,1,38.0,38.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
131,0,,,12.083045973594572,18.0,0.9910023202511883,8.0,0,9.0,0,1.0,0,0,0,1,1,1,0.375
57,1,32.0,32.0,0.0,0.0,1.0,0.0,1,0.0,1,0.0,1,1,1,1,1,1,1.0
