pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,birth_year_diff,birth_year_equal,education_match,marital_status_match,sex_match,religion_match,ethnicity_match,overall_similarity
58,1,32.0,32.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
59,1,35.0,35.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
60,1,36.0,36.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
61,1,37.0,37.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
62,1,39.0,39.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
63,1,41.0,41.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
64,1,53.0,42.0,0.0,0.0,1.0,0.0,1,0.0,1,0,1,1,1,1,0.8571428571428571
65,1,46.0,46.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
66,1,48.0,48.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
67,1,50.0,50.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
68,1,52.0,52.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
69,1,59.0,53.0,73.824115301167,100.0,0.9376696395377353,65.0,0,35.0,0,1,0,1,1,1,0.5714285714285714
70,1,55.0,55.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
71,1,57.0,57.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
72,1,58.0,58.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
73,1,62.0,62.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
74,1,66.0,66.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
75,1,67.0,67.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
76,1,68.0,68.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
77,1,72.0,72.0,0.0,0.0,1.0,0.0,1,0.0,1,1,1,1,1,1,1.0
78,1,81.0,76.0,19.79898987322333,28.0,0.973319541973037,14.0,0,14.0,0,0,1,1,1,1,0.5714285714285714
79,1,77.0,87.0,1.0,1.0,0.9999876306108578,0.0,1,1.0,0,0,1,1,0,1,0.5714285714285714
80,0,,,2.8284271247461903,4.0,0.999530366872928,2.0,0,2.0,0,0,1,1,1,0,0.42857142857142855
81,0,,,21.213203435596427,30.0,0.97612349211944,15.0,0,15.0,0,0,1,1,0,0,0.2857142857142857
82,0,,,4.242640687119285,6.0,0.9987302389175188,3.0,0,3.0,0,0,1,1,1,0,0.42857142857142855
83,0,,,5.656854249492381,8.0,0.9429903335828895,4.0,0,4.0,0,0,1,1,1,1,0.5714285714285714
84,0,,,5.0,7.0,0.9615239476408232,4.0,0,3.0,0,0,1,1,1,1,0.5714285714285714
85,0,,,43.01162633521314,60.0,0.9058711363038314,25.0,0,35.0,0,0,1,1,1,1,0.5714285714285714
86,0,,,2.8284271247461903,4.0,0.999530366872928,2.0,0,2.0,0,0,1,1,1,0,0.42857142857142855
87,0,,,2.8284271247461903,4.0,0.999645745626897,2.0,0,2.0,0,1,1,0,0,1,0.42857142857142855
88,0,,,1.4142135623730951,2.0,0.99989797479951,1.0,0,1.0,0,0,1,1,0,1,0.42857142857142855
89,0,,,98.02040603874276,100.0,0.2095290887308734,2.0,0,98.0,0,0,1,1,1,1,0.5714285714285714
90,0,,,98.02040603874276,100.0,0.19996001199600144,2.0,0,98.0,0,1,0,1,1,1,0.5714285714285714
91,0,,,5.0,7.0,0.9983179786640896,3.0,0,4.0,0,1,0,1,1,0,0.42857142857142855
92,0,,,98.02040603874276,100.0,0.2095290887308734,2.0,0,98.0,0,0,1,1,1,1,0.5714285714285714
93,0,,,5.0,7.0,0.9982477853627411,4.0,0,3.0,0,0,1,1,0,1,0.42857142857142855
94,0,,,32.526911934581186,46.0,0.9408746819358994,23.0,0,23.0,0,0,1,1,1,1,0.5714285714285714
95,0,,,81.74350127074322,100.0,0.9980720449599262,21.0,0,79.0,0,0,0,0,0,0,0.0
96,0,,,1.4142135623730951,2.0,0.9999293455617063,1.0,0,1.0,0,1,0,0,1,1,0.42857142857142855
