feature,mean_abs_shap,rank
age_equal,0.22702604384702557,1
overall_similarity,0.16155644656846158,2
education_match,0.05170033843079214,3
marital_status_match,0.018551097398162016,4
sex_match,0.013198775726260098,5
euclidean_distance,0.010422570481181498,6
manhattan_distance,0.010422570481181451,7
age_diff,0.010422570481181436,8
cosine_similarity,0.00040866295736702166,9
