anon_id,max_attack_score,mean_attack_score,pair_count,risk_level
1.0,0.8816502292950948,0.8816502292950948,1,low
3.0,0.8003941377003988,0.8003941377003988,1,low
4.0,0.8246787190437317,0.8246787190437317,1,low
6.0,0.8547884424527487,0.8547884424527487,1,low
10.0,0.6926218867301941,0.6926218867301941,1,low
11.0,0.9150296250979105,0.9150296250979105,1,high
13.0,0.9000143607457479,0.9000143607457479,1,medium
14.0,0.9128789305686951,0.9128789305686951,1,high
17.0,0.836201032002767,0.836201032002767,1,low
18.0,0.9113481640815735,0.9113481640815735,1,high
19.0,0.793925404548645,0.793925404548645,1,low
21.0,0.895389179388682,0.895389179388682,1,medium
22.0,0.9121087392171224,0.9121087392171224,1,high
25.0,0.9162440697352091,0.9162440697352091,1,critical
28.0,0.891672670841217,0.891672670841217,1,medium
29.0,0.912063737710317,0.912063737710317,1,high
30.0,0.8944728175799052,0.8944728175799052,1,medium
31.0,0.7619504531224569,0.7619504531224569,1,low
32.0,0.9006627996762594,0.9006627996762594,1,medium
33.0,0.9089175860087076,0.9089175860087076,1,medium
35.0,0.8500168124834696,0.8500168124834696,1,low
36.0,0.9077649712562561,0.9077649712562561,1,medium
37.0,0.8256486256917318,0.8256486256917318,1,low
39.0,0.9105335076649984,0.9105335076649984,1,high
40.0,0.9146770636240641,0.9146770636240641,1,high
41.0,0.8840125600496928,0.8840125600496928,1,low
42.0,0.91561226050059,0.91561226050059,1,high
48.0,0.9145243366559347,0.9145243366559347,1,high
49.0,0.9106371601422628,0.9106371601422628,1,high
51.0,0.791077176729838,0.791077176729838,1,low
54.0,0.9149243036905924,0.9149243036905924,1,high
55.0,0.9164242744445801,0.9164242744445801,1,critical
58.0,0.9143308202425638,0.9143308202425638,1,high
60.0,0.913612981637319,0.913612981637319,1,high
62.0,0.9038065274556478,0.9038065274556478,1,medium
65.0,0.9074222644170126,0.9074222644170126,1,medium
67.0,0.9124471346537272,0.9124471346537272,1,high
68.0,0.9098960558573405,0.9098960558573405,1,high
