pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,sector_diff,sector_equal,district_diff,district_equal,month_diff,month_equal,nhh_diff,nhh_equal,person_serial_no_diff,person_serial_no_equal,reason_leave_school_diff,reason_leave_school_equal,hhno_match,psu_match,snumber_match,result_match,r2_school_education_match,type_of_school_match,grade_last_year_match,grade_this_year_match,when_stop_schooling_match,noschooling_reason_match,time_to_school_match,transport_medium_match,distance_match,overall_similarity,grade_last_year_diff,grade_last_year_equal,grade_this_year_diff,grade_this_year_equal,time_to_school_diff,time_to_school_equal,transport_medium_diff,transport_medium_equal,distance_diff,distance_equal,reason_leave_school_match,when_stop_schooling_diff,when_stop_schooling_equal,sector_match,noschooling_reason_diff,noschooling_reason_equal
137,1,137.0,137.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.0,0,0,1,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8947368421052632,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
978,1,978.0,978.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.0,0,0,1,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8421052631578947,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
772,1,772.0,772.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.0,0,0,1,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8421052631578947,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1178,0,,,20.322401432901575,27.0,0.9980185690000661,0.0,0.0,20.0,0,1.0,0,0.0,1,1.0,0,0.0,0.0,0,0,1,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5263157894736842,1.0,0.0,0.0,1.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1468,0,,,8.18535277187245,11.0,0.9893729362746297,0.0,0.0,8.0,0,1.0,0,0.0,1,1.0,0,1.0,0.0,0,0,0,1,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1194,0,,,61.04096984812741,74.0,0.9995430624895303,0.0,0.0,60.0,0,11.0,0,0.0,1,0.0,1,1.0,0.0,0,0,0,1,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
789,1,789.0,789.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.0,0,0,1,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8421052631578947,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
82,1,82.0,82.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.0,0,0,1,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8947368421052632,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
238,1,238.0,238.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.0,0,0,1,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8421052631578947,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1245,0,,,70.36334272900912,79.0,0.6924126750620421,1.0,0.0,70.0,0,7.0,0,0.0,1,0.0,1,1.0,0.0,0,0,0,1,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1842,0,,,15.459624833740307,23.0,0.983506018629813,0.0,0.0,1.0,0,2.0,0,0.0,1,1.0,0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.47368421052631576,0.0,1.0,0.0,1.0,15.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
89,1,89.0,89.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,1.0,0,0,1,1,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.8947368421052632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
223,1,223.0,223.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.0,0,0,1,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8947368421052632,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1591,0,,,2.0,4.0,0.9997250972880134,0.0,0.0,0.0,1,1.0,0,0.0,1,0.0,1,0.0,0.0,0,0,0,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5789473684210527,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1920,0,,,16.941074346097416,31.0,0.9956104927049437,0.0,0.0,11.0,0,8.0,0,0.0,1,1.0,0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5263157894736842,0.0,1.0,0.0,1.0,10.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1218,0,,,15.329709716755891,29.0,0.9492547642296685,0.0,0.0,11.0,0,9.0,0,0.0,1,0.0,1,0.0,0.0,0,0,1,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5789473684210527,4.0,0.0,4.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1148,0,,,58.70264048575669,68.0,0.8880227704750435,0.0,0.0,58.0,0,9.0,0,0.0,1,1.0,0,0.0,1.0,0,0,0,1,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1859,0,,,31.670175244226233,41.0,0.9731425288701785,0.0,0.0,31.0,0,0.0,1,0.0,1,1.0,0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5789473684210527,0.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
397,1,397.0,397.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.0,0,0,1,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8421052631578947,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1752,0,,,11.224972160321824,20.0,0.918312705268964,0.0,1.0,0.0,1,9.0,0,0.0,1,2.0,0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.631578947368421,0.0,1.0,0.0,1.0,5.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
1107,0,,,37.68288736283355,58.0,0.8728634030305304,0.0,0.0,11.0,0,3.0,0,0.0,1,1.0,0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5263157894736842,0.0,1.0,0.0,1.0,35.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
92,1,92.0,92.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.0,0,0,1,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8947368421052632,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
231,1,231.0,231.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.0,0,0,1,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8947368421052632,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
639,1,639.0,639.0,0.0,0.0,1.0,0.0,1.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.0,0,0,1,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8947368421052632,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1210,0,,,10.677078252031311,16.0,0.9375255987790483,0.0,0.0,10.0,0,3.0,0,0.0,1,1.0,0,0.0,0.0,0,0,0,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5789473684210527,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
484,1,484.0,484.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0.0,1,0.0,1,0.0,0.0,0,0,1,1,1,1,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.8421052631578947,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
1000,0,,,96.0937042682818,104.0,0.9988665605339856,0.0,0.0,1.0,0,3.0,0,0.0,1,2.0,0,96.0,0.0,0,0,0,1,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.5263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
