anon_index,max_attack_score,mean_attack_score,pair_count,risk_level
1,0.9688484063455044,0.9688484063455044,1,medium
4,0.9782842918583273,0.5002867452444217,2,critical
6,0.96524412935108,0.96524412935108,1,medium
7,0.01608842960108463,0.01608842960108463,1,low
10,0.9583601657870213,0.4929293436881691,2,medium
11,0.9589515431916346,0.9589515431916346,1,medium
12,0.0224187798392663,0.0224187798392663,1,low
13,0.9707381083700852,0.4931695578501817,2,high
14,0.014987444970749922,0.014987444970749922,1,low
17,0.9640808057011753,0.48986119047168714,2,medium
18,0.9694952397648997,0.9694952397648997,1,medium
19,0.9612507989982945,0.9612507989982945,1,medium
21,0.9798749024765253,0.505823355305473,3,critical
22,0.9357012400169022,0.9357012400169022,1,low
24,0.016366620059522587,0.016366620059522587,1,low
25,0.9680952089374166,0.9680952089374166,1,medium
27,0.9687273399738348,0.9687273399738348,1,medium
28,0.970541724846807,0.970541724846807,1,medium
29,0.9610615248826176,0.4892062127147664,2,medium
33,0.9760417892756105,0.9760417892756105,1,high
35,0.754600505609106,0.754600505609106,1,low
36,0.01397248206693147,0.01393594261728389,2,low
37,0.9464186044124271,0.4809367985762582,2,medium
39,0.9372996055737527,0.9372996055737527,1,medium
40,0.9734628710054976,0.4937176765362145,2,high
41,0.7577230233575821,0.7577230233575821,1,low
42,0.9720604151684921,0.4933085949451824,2,high
44,0.01431194524985129,0.01431194524985129,1,low
48,0.9109414944199159,0.4455948073113234,3,low
51,0.9687359127179794,0.33345661040976204,3,medium
54,0.9192083601065405,0.46987746353293486,2,low
55,0.014827639370248467,0.014827639370248467,1,low
58,0.9618674953511767,0.33061412843089216,3,medium
60,0.8774651538512904,0.8774651538512904,1,low
65,0.9535724989111284,0.9535724989111284,1,medium
67,0.9192083601065405,0.9192083601065405,1,low
68,0.9357012400169022,0.9357012400169022,1,low
70,0.9485328940478516,0.9485328940478516,1,medium
72,0.017490698966548996,0.017490698966548996,1,low
74,0.9549302593072104,0.9549302593072104,1,medium
80,0.014687083339619357,0.014687083339619357,1,low
83,0.9192083601065405,0.9192083601065405,1,low
84,0.01608842960108463,0.015516349946012822,2,low
85,0.9551985815127342,0.9551985815127342,1,medium
86,0.9706886054874516,0.9706886054874516,1,high
90,0.014687083339619357,0.014687083339619357,1,low
91,0.01570204624343781,0.01570204624343781,1,low
92,0.20883532611393885,0.20883532611393885,1,low
94,0.9073206508895341,0.4622158523640628,2,low
98,0.9734628710054976,0.9734628710054976,1,high
99,0.9718710303882245,0.4944176653285503,2,high
101,0.8812482172348443,0.4509527041723923,2,low
103,0.9106541250100116,0.874983005251233,2,low
104,0.01397248206693147,0.01397248206693147,1,low
105,0.953987776945883,0.953987776945883,1,medium
107,0.961892518291093,0.4887467628106856,2,medium
108,0.9355386957273586,0.9355386957273586,1,low
109,0.018611555036572514,0.017277664861180805,2,low
110,0.9680952089374166,0.4973443027987297,2,medium
114,0.015841048096201946,0.015841048096201946,1,low
115,0.015896525336850438,0.015896525336850438,1,low
118,0.9738341280872831,0.494848619133642,2,high
119,0.9473132331610435,0.2503808021207364,4,medium
123,0.9798749024765253,0.49710975154813447,2,critical
124,0.016052071531373557,0.016052071531373557,1,low
127,0.9798608676153434,0.9798608676153434,1,critical
130,0.9367072173661685,0.9367072173661685,1,medium
133,0.959797706963327,0.959797706963327,1,medium
136,0.968039354866884,0.968039354866884,1,medium
139,0.8422793954570199,0.3846830718215049,3,low
141,0.9687252677103616,0.4918699413958377,2,medium
146,0.02189798848824402,0.02189798848824402,1,low
149,0.9637550650770672,0.9637550650770672,1,medium
150,0.014687083339619357,0.014687083339619357,1,low
152,0.9731088541411445,0.4948253279408311,2,high
153,0.963533555832889,0.500693311037662,3,medium
154,0.9734628710054976,0.7909378282435047,2,high
155,0.9706886054874516,0.4996506393372568,2,high
159,0.9715014157499242,0.9715014157499242,1,high
162,0.963494781694538,0.963494781694538,1,medium
163,0.01397248206693147,0.01397248206693147,1,low
165,0.94071293567862,0.4073636223904651,3,medium
166,0.9748675222609998,0.9748675222609998,1,high
167,0.9728330987011461,0.9728330987011461,1,high
168,0.7435083075435417,0.7435083075435417,1,low
169,0.8326902167388087,0.8326902167388087,1,low
171,0.9764182456701098,0.9764182456701098,1,high
172,0.9738341280872831,0.4937054932109671,2,high
173,0.01689798195273358,0.01689798195273358,1,low
175,0.9618674953511767,0.9618674953511767,1,medium
176,0.01397248206693147,0.01397248206693147,1,low
177,0.013576858334651004,0.013576858334651004,1,low
178,0.9728330987011461,0.9728330987011461,1,high
179,0.014987444970749922,0.014987444970749922,1,low
180,0.015690009573273375,0.015690009573273375,1,low
181,0.9725365685199221,0.4944105287116578,2,high
182,0.9463746585419462,0.9463746585419462,1,medium
183,0.014987444970749922,0.014987444970749922,1,low
187,0.9704415219198274,0.9704415219198274,1,medium
189,0.011265510491296114,0.011265510491296114,1,low
191,0.01397248206693147,0.01397248206693147,1,low
192,0.9549302593072104,0.9549302593072104,1,medium
194,0.014928811781970643,0.014928811781970643,1,low
198,0.9671432497463398,0.7467179804590698,2,medium
199,0.9813642278326844,0.9813642278326844,1,critical
201,0.9434692528727314,0.5254390950305021,2,medium
202,0.014633252056663318,0.014633252056663318,1,low
204,0.9493494996545099,0.9493494996545099,1,medium
209,0.023965448231401874,0.023965448231401874,1,low
211,0.9514627464959359,0.9514627464959359,1,medium
213,0.9687139925704136,0.9687139925704136,1,medium
214,0.026593396660042786,0.026593396660042786,1,low
218,0.9133191171050115,0.9133191171050115,1,low
220,0.9664355582020256,0.9664355582020256,1,medium
224,0.9734628710054976,0.9734628710054976,1,high
225,0.9618674953511767,0.9618674953511767,1,medium
226,0.9457191177719143,0.4798457999194229,2,medium
232,0.9367072173661685,0.319810825678666,3,medium
233,0.971519053118564,0.971519053118564,1,high
234,0.017309998995131002,0.017309998995131002,1,low
235,0.8565294046982711,0.8565294046982711,1,low
237,0.017111053838591603,0.017111053838591603,1,low
238,0.9718710303882245,0.4936462259507096,2,high
242,0.9073206508895341,0.9073206508895341,1,low
243,0.9664355582020256,0.4905613207708225,2,medium
245,0.9665024693653147,0.9665024693653147,1,medium
246,0.9680868552404204,0.9680868552404204,1,medium
248,0.9702644226947652,0.9702644226947652,1,medium
249,0.02306160441656897,0.02306160441656897,1,low
252,0.968039354866884,0.968039354866884,1,medium
254,0.933503849747293,0.933503849747293,1,low
255,0.8599204303957572,0.8599204303957572,1,low
256,0.971987068227406,0.971987068227406,1,high
260,0.9760417892756105,0.9760417892756105,1,high
262,0.01570204624343781,0.01570204624343781,1,low
263,0.8156753795218125,0.8156753795218125,1,low
265,0.967396143815466,0.4908703722176048,2,medium
268,0.791565908665966,0.791565908665966,1,low
270,0.9615186916448267,0.33037097746710115,3,medium
271,0.9608446867770644,0.9608446867770644,1,medium
272,0.014987444970749922,0.014987444970749922,1,low
274,0.8951427258243303,0.8951427258243303,1,low
278,0.9685122621036578,0.49193084585578556,2,medium
280,0.01397248206693147,0.01397248206693147,1,low
281,0.014987444970749922,0.014987444970749922,1,low
282,0.8560929522570678,0.8560929522570678,1,low
288,0.023965448231401874,0.019861425247057744,2,low
290,0.014987444970749922,0.014987444970749922,1,low
291,0.959797706963327,0.959797706963327,1,medium
292,0.014928811781970643,0.014928811781970643,1,low
296,0.014161893530373946,0.014161893530373946,1,low
297,0.9457191177719143,0.9457191177719143,1,medium
299,0.9225740716000944,0.9225740716000944,1,low
301,0.01550073394587708,0.015500683403794496,2,low
303,0.9694433659481829,0.9694433659481829,1,medium
304,0.015814110177974437,0.015814110177974437,1,low
307,0.014928811781970643,0.014928811781970643,1,low
308,0.9730895751892886,0.9730895751892886,1,high
310,0.015762357672062507,0.014929795402200689,2,low
311,0.9610068206974832,0.9610068206974832,1,medium
312,0.9333689752748713,0.47549371151916126,2,low
313,0.9589609479289524,0.4976437894930074,2,medium
314,0.9663237901698892,0.33222172424205587,3,medium
316,0.014827639370248467,0.014827639370248467,1,low
317,0.014987444970749922,0.014987444970749922,1,low
319,0.9523029853078177,0.9523029853078177,1,medium
325,0.9718217350742742,0.4940463784330612,2,high
328,0.013644054044999203,0.013644054044999203,1,low
332,0.7264392038475019,0.7264392038475019,1,low
333,0.016284488903393478,0.016284488903393478,1,low
334,0.015757402262713615,0.015757402262713615,1,low
338,0.014312750407919128,0.014030944473519102,2,low
339,0.9457191177719143,0.9457191177719143,1,medium
340,0.01397248206693147,0.01397248206693147,1,low
342,0.9221239544762697,0.9221239544762697,1,low
346,0.015757402262713615,0.015757402262713615,1,low
347,0.7013814330586668,0.7013814330586668,1,low
348,0.019815810551396407,0.019815810551396407,1,low
355,0.9671986459756794,0.9671986459756794,1,medium
360,0.9798749024765253,0.5673784329539727,2,critical
361,0.014344796255749576,0.014344796255749576,1,low
362,0.9586969374623995,0.9586969374623995,1,medium
364,0.015943774685789096,0.015943774685789096,1,low
365,0.908238790737891,0.908238790737891,1,low
366,0.9609801400116416,0.3339444122209998,3,medium
367,0.026312505209616144,0.026312505209616144,1,low
368,0.9714869046520627,0.9714869046520627,1,high
370,0.9618674953511767,0.4861977226162084,3,medium
372,0.014687083339619357,0.013841063003325417,2,low
374,0.014019740393557635,0.014019740393557635,1,low
375,0.9733559377087686,0.9733559377087686,1,high
379,0.9685122621036578,0.9685122621036578,1,medium
382,0.9703113133213126,0.9703113133213126,1,medium
383,0.011847937617154004,0.011847937617154004,1,low
384,0.9559315100384759,0.9559315100384759,1,medium
385,0.9569323894151386,0.9569323894151386,1,medium
387,0.9770679989986539,0.5854408498139884,3,high
391,0.9618674953511767,0.9618674953511767,1,medium
392,0.014687083339619357,0.014687083339619357,1,low
393,0.9309745210658175,0.4731856000448677,2,low
398,0.9545263118095823,0.4845896460762889,2,medium
399,0.8713904921958492,0.8713904921958492,1,low
400,0.9478876237642674,0.9478876237642674,1,medium
401,0.956291546068606,0.6777419912098261,2,medium
403,0.9618674953511767,0.9618674953511767,1,medium
406,0.9829886784749021,0.9829886784749021,1,critical
407,0.9685122621036578,0.9685122621036578,1,medium
411,0.014633252056663318,0.014633252056663318,1,low
412,0.9323434697099428,0.47331692200187064,2,low
416,0.016284488903393478,0.016284488903393478,1,low
419,0.8919949073338181,0.8919949073338181,1,low
420,0.9798749024765253,0.9798749024765253,1,critical
425,0.9551656925141975,0.4833386293925731,2,medium
427,0.8735221232418686,0.4439333619308061,2,low
429,0.8317804197625659,0.8317804197625659,1,low
431,0.01397248206693147,0.01397248206693147,1,low
433,0.014944270290941015,0.014944270290941015,1,low
434,0.9706886054874516,0.9706886054874516,1,high
437,0.9637550650770672,0.48934193842951895,2,medium
438,0.02215253562674756,0.02215253562674756,1,low
440,0.014892362888805919,0.014892362888805919,1,low
441,0.9705910497405558,0.9705910497405558,1,medium
444,0.9241253970674151,0.9241253970674151,1,low
446,0.015601007330278175,0.015601007330278175,1,low
448,0.016086093126488846,0.01551424491637586,2,low
450,0.9545263118095823,0.9545263118095823,1,medium
451,0.9381077874016231,0.9381077874016231,1,medium
452,0.9775716896760063,0.9775716896760063,1,critical
454,0.9638562598487823,0.9638562598487823,1,medium
458,0.9694433659481829,0.9694433659481829,1,medium
462,0.01397248206693147,0.01397248206693147,1,low
463,0.9660835281522809,0.9660835281522809,1,medium
464,0.01397248206693147,0.01397248206693147,1,low
466,0.01608842960108463,0.01608842960108463,1,low
