row_index,anon_id,orig_id,pred_prob,feature,feature_value,shap_value
0,0.0,0.0,0.9648474887814732,euclidean_distance,0.0,0.010490498153874428
0,0.0,0.0,0.9648474887814732,manhattan_distance,0.0,0.010490498153874447
0,0.0,0.0,0.9648474887814732,cosine_similarity,1.0,0.0
0,0.0,0.0,0.9648474887814732,sector_diff,0.0,0.010490498153874464
0,0.0,0.0,0.9648474887814732,sector_equal,1.0,0.010490498153874402
0,0.0,0.0,0.9648474887814732,type_of_school_match,1.0,0.0
0,0.0,0.0,0.9648474887814732,r2_school_education_match,1.0,0.17259765722642886
0,0.0,0.0,0.9648474887814732,overall_similarity,1.0,0.2505080759459761
1,5.0,5.0,0.9648474887814732,euclidean_distance,0.0,0.010490498153874428
1,5.0,5.0,0.9648474887814732,manhattan_distance,0.0,0.010490498153874447
1,5.0,5.0,0.9648474887814732,cosine_similarity,1.0,0.0
1,5.0,5.0,0.9648474887814732,sector_diff,0.0,0.010490498153874464
1,5.0,5.0,0.9648474887814732,sector_equal,1.0,0.010490498153874402
1,5.0,5.0,0.9648474887814732,type_of_school_match,1.0,0.0
1,5.0,5.0,0.9648474887814732,r2_school_education_match,1.0,0.17259765722642886
1,5.0,5.0,0.9648474887814732,overall_similarity,1.0,0.2505080759459761
2,15.0,15.0,0.9648474887814732,euclidean_distance,0.0,0.010490498153874428
2,15.0,15.0,0.9648474887814732,manhattan_distance,0.0,0.010490498153874447
2,15.0,15.0,0.9648474887814732,cosine_similarity,1.0,0.0
2,15.0,15.0,0.9648474887814732,sector_diff,0.0,0.010490498153874464
2,15.0,15.0,0.9648474887814732,sector_equal,1.0,0.010490498153874402
2,15.0,15.0,0.9648474887814732,type_of_school_match,1.0,0.0
2,15.0,15.0,0.9648474887814732,r2_school_education_match,1.0,0.17259765722642886
2,15.0,15.0,0.9648474887814732,overall_similarity,1.0,0.2505080759459761
3,24.0,24.0,0.9648474887814732,euclidean_distance,0.0,0.010490498153874428
3,24.0,24.0,0.9648474887814732,manhattan_distance,0.0,0.010490498153874447
3,24.0,24.0,0.9648474887814732,cosine_similarity,1.0,0.0
3,24.0,24.0,0.9648474887814732,sector_diff,0.0,0.010490498153874464
3,24.0,24.0,0.9648474887814732,sector_equal,1.0,0.010490498153874402
3,24.0,24.0,0.9648474887814732,type_of_school_match,1.0,0.0
3,24.0,24.0,0.9648474887814732,r2_school_education_match,1.0,0.17259765722642886
3,24.0,24.0,0.9648474887814732,overall_similarity,1.0,0.2505080759459761
4,31.0,31.0,0.9648474887814732,euclidean_distance,0.0,0.010490498153874428
4,31.0,31.0,0.9648474887814732,manhattan_distance,0.0,0.010490498153874447
4,31.0,31.0,0.9648474887814732,cosine_similarity,1.0,0.0
4,31.0,31.0,0.9648474887814732,sector_diff,0.0,0.010490498153874464
4,31.0,31.0,0.9648474887814732,sector_equal,1.0,0.010490498153874402
