pair_index,orig_id,anon_id,label,age_missing,age_diff,age_equal,education_missing,education_diff,education_equal,industry_missing,industry_diff,industry_equal,marital_status_missing,marital_status_diff,marital_status_equal,sex_missing,sex_diff,sex_equal,similarity_score
602,602,602,1,0,22.0,0.0,0,2.0,0.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2
270,270,270,1,0,27.0,0.0,0,7.0,0.0,0,49215.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0
1384,1384,1384,0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,0.0
231,231,231,1,0,6.0,0.0,0,9.0,0.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2
49,49,49,1,0,10.0,0.0,0,3.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2
462,462,462,1,0,32.0,0.0,0,3.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0
1105,1105,1105,0,0,7.0,0.0,0,0.0,1.0,0,30990.0,0.0,0,0.0,1.0,0,0.0,1.0,0.6
855,855,855,1,0,29.0,0.0,0,6.0,0.0,0,64900.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2
693,693,693,1,0,18.0,0.0,0,9.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2
1551,1551,1551,0,0,29.0,0.0,0,12.0,0.0,0,62004.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2
