pair_index,orig_id,anon_id,label,age_missing,age_diff,age_equal,education_missing,education_diff,education_equal,industry_missing,industry_diff,industry_equal,marital_status_missing,marital_status_diff,marital_status_equal,sex_missing,sex_diff,sex_equal,similarity_score,anon_index,aux_index
1078,1078,1078,0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,1,1.0,0.0,0.0,1078,1078
254,254,254,1,0,34.0,0.0,0,10.0,0.0,0,55100.0,0.0,0,2.0,0.0,0,1.0,0.0,0.0,254,254
124,124,124,1,0,2.0,0.0,0,6.0,0.0,0,17017.0,0.0,0,0.0,1.0,0,2.0,0.0,0.2,124,124
1927,1927,1927,0,0,24.0,0.0,0,5.0,0.0,1,1.0,0.0,0,0.0,1.0,0,2.0,0.0,0.2,1927,1927
251,251,251,1,0,19.0,0.0,1,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,0.0,1.0,0.2,251,251
585,585,585,1,0,11.0,0.0,0,8.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,585,585
1568,1568,1568,0,0,27.0,0.0,0,10.0,0.0,1,1.0,0.0,0,4.0,0.0,0,2.0,0.0,0.0,1568,1568
824,824,824,1,0,59.0,0.0,0,16.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,824,824
507,507,507,1,0,16.0,0.0,0,2.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,507,507
889,889,889,1,0,34.0,0.0,0,1.0,0.0,1,1.0,0.0,0,1.0,0.0,0,1.0,0.0,0.0,889,889
70,70,70,1,0,24.0,0.0,0,8.0,0.0,0,85203.0,0.0,0,2.0,0.0,0,0.0,1.0,0.2,70,70
1608,1608,1608,0,0,6.0,0.0,0,10.0,0.0,1,1.0,0.0,0,2.0,0.0,0,2.0,0.0,0.0,1608,1608
1532,1532,1532,0,0,46.0,0.0,0,2.0,0.0,1,1.0,0.0,0,0.0,1.0,0,1.0,0.0,0.2,1532,1532
