pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,education_match,marital_status_match,sex_match,overall_similarity
113,0,,,10.0,10.0,1.0,10.0,0,1,1,0,0.5
104,0,,,13.0,13.0,1.0,13.0,0,0,1,1,0.5
118,0,,,8.0,8.0,1.0,8.0,0,0,1,1,0.5
68,1,49.0,48.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
80,1,73.0,72.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
168,0,,,10.0,10.0,1.0,10.0,0,0,1,1,0.5
165,0,,,11.0,11.0,1.0,11.0,0,0,1,1,0.5
49,1,13.0,12.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
45,1,10.0,88.0,10.0,10.0,1.0,10.0,0,0,1,1,0.5
22,1,44.0,43.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
66,1,43.0,42.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
88,0,,,3.0,3.0,1.0,3.0,0,0,1,1,0.5
135,0,,,12.0,12.0,1.0,12.0,0,0,1,1,0.5
52,1,19.0,18.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
127,0,,,0.0,0.0,1.0,0.0,1,1,1,0,0.75
163,0,,,3.0,3.0,1.0,3.0,0,0,1,1,0.5
84,1,30.0,83.0,20.0,20.0,1.0,20.0,0,0,1,1,0.5
23,1,45.0,44.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
2,1,3.0,3.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
9,1,14.0,13.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
131,0,,,2.0,2.0,1.0,2.0,0,1,1,1,0.75
74,1,59.0,58.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
38,1,74.0,73.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
27,1,52.0,51.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
47,1,5.0,5.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
41,1,78.0,77.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
100,0,,,6.0,6.0,1.0,6.0,0,0,1,1,0.5
63,1,38.0,37.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
83,1,81.0,80.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
6,1,9.0,9.0,0.0,0.0,1.0,0.0,1,1,1,1,1.0
85,0,,,7.0,7.0,1.0,7.0,0,0,1,1,0.5
155,0,,,2.0,2.0,1.0,2.0,0,1,1,1,0.75
132,0,,,10.0,10.0,1.0,10.0,0,1,0,1,0.5
