pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,age_diff,age_equal,education_match,marital_status_match,sex_match,ethnicity_match,religion_match,overall_similarity,attack_score
59,1,35.0,35.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0,0.939146480301344
60,1,36.0,36.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0,0.939146480301344
61,1,37.0,37.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0,0.939146480301344
62,1,39.0,39.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0,0.939146480301344
63,1,41.0,41.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0,0.939146480301344
64,1,52.0,42.0,1.0,1.0,1.0,1.0,0,1,1,1,1,1,0.8333333333333334,0.8864673017362911
65,1,46.0,46.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0,0.939146480301344
66,1,48.0,48.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0,0.939146480301344
67,1,50.0,50.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0,0.939146480301344
68,1,53.0,52.0,1.0,1.0,1.0,1.0,0,0,1,1,1,1,0.6666666666666666,0.6321377809852992
69,1,59.0,53.0,65.0,65.0,1.0,65.0,0,1,0,1,1,1,0.6666666666666666,0.5705507649355128
70,1,55.0,55.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0,0.939146480301344
71,1,57.0,57.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0,0.939146480301344
72,1,58.0,58.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0,0.939146480301344
73,1,62.0,62.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0,0.939146480301344
74,1,66.0,66.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0,0.939146480301344
75,1,67.0,67.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0,0.939146480301344
76,1,68.0,68.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0,0.939146480301344
77,1,72.0,72.0,0.0,0.0,1.0,0.0,1,1,1,1,1,1,1.0,0.939146480301344
78,1,81.0,76.0,14.0,14.0,1.0,14.0,0,0,1,1,1,1,0.6666666666666666,0.5008117678007893
79,1,77.0,87.0,0.0,0.0,1.0,0.0,1,0,1,1,1,0,0.6666666666666666,0.5242525285167468
80,0,,,18.0,18.0,1.0,18.0,0,0,1,1,1,1,0.6666666666666666,0.11953052301583712
81,0,,,15.0,15.0,1.0,15.0,0,0,1,1,0,0,0.3333333333333333,0.18171889672694871
82,0,,,2.0,2.0,1.0,2.0,0,0,1,1,1,0,0.5,0.5773362535491007
83,0,,,38.0,38.0,1.0,38.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
84,0,,,38.0,38.0,1.0,38.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
85,0,,,25.0,25.0,1.0,25.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
86,0,,,18.0,18.0,1.0,18.0,0,0,1,1,1,1,0.6666666666666666,0.11953052301583712
87,0,,,52.0,52.0,1.0,52.0,0,1,1,1,1,0,0.6666666666666666,0.06803746552714246
88,0,,,15.0,15.0,1.0,15.0,0,1,1,0,1,1,0.6666666666666666,0.04545124054841266
89,0,,,15.0,15.0,1.0,15.0,0,0,1,1,1,1,0.6666666666666666,0.11953052301583712
90,0,,,36.0,36.0,1.0,36.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
91,0,,,45.0,45.0,1.0,45.0,0,1,0,1,1,1,0.6666666666666666,0.07349413239640103
92,0,,,18.0,18.0,1.0,18.0,0,1,1,1,1,0,0.6666666666666666,0.0699740793846818
93,0,,,28.0,28.0,1.0,28.0,0,1,1,1,1,0,0.6666666666666666,0.0680356352061636
94,0,,,22.0,22.0,1.0,22.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
95,0,,,21.0,21.0,1.0,21.0,0,0,0,0,0,0,0.0,0.06417924737312757
96,0,,,9.0,9.0,1.0,9.0,0,0,1,1,1,1,0.6666666666666666,0.38690517749776204
97,0,,,45.0,45.0,1.0,45.0,0,1,1,1,1,0,0.6666666666666666,0.0680356352061636
98,0,,,36.0,36.0,1.0,36.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
99,0,,,24.0,24.0,1.0,24.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
100,0,,,1.0,1.0,1.0,1.0,0,0,0,1,1,1,0.5,0.3205785680587029
101,0,,,36.0,36.0,1.0,36.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
102,0,,,38.0,38.0,1.0,38.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
103,0,,,33.0,33.0,1.0,33.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
104,0,,,58.0,58.0,1.0,58.0,0,0,0,1,0,0,0.1666666666666666,0.11678006839230541
105,0,,,1.0,1.0,1.0,1.0,0,0,1,1,1,0,0.5,0.2558850189709252
106,0,,,0.0,0.0,1.0,0.0,1,0,1,0,1,1,0.6666666666666666,0.14767202055792925
107,0,,,0.0,0.0,1.0,0.0,1,0,1,1,1,0,0.6666666666666666,0.5242525285167468
108,0,,,2.0,2.0,1.0,2.0,0,0,1,0,1,1,0.5,0.16172545473911848
109,0,,,13.0,13.0,1.0,13.0,0,1,1,0,1,1,0.6666666666666666,0.14793278102329183
110,0,,,24.0,24.0,1.0,24.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
111,0,,,43.0,43.0,1.0,43.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
112,0,,,16.0,16.0,1.0,16.0,0,0,1,1,1,1,0.6666666666666666,0.11953052301583712
113,0,,,15.0,15.0,1.0,15.0,0,0,1,1,1,1,0.6666666666666666,0.11953052301583712
114,0,,,41.0,41.0,1.0,41.0,0,1,0,1,1,1,0.6666666666666666,0.07349413239640103
115,0,,,12.0,12.0,1.0,12.0,0,0,1,1,1,1,0.6666666666666666,0.20980661985364332
116,0,,,25.0,25.0,1.0,25.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
117,0,,,34.0,34.0,1.0,34.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
118,0,,,50.0,50.0,1.0,50.0,0,1,1,0,1,1,0.6666666666666666,0.04579671437651082
119,0,,,57.0,57.0,1.0,57.0,0,0,0,1,0,0,0.1666666666666666,0.11678006839230541
120,0,,,0.0,0.0,1.0,0.0,1,0,1,0,1,1,0.6666666666666666,0.14767202055792925
121,0,,,30.0,30.0,1.0,30.0,0,1,1,1,1,0,0.6666666666666666,0.0680356352061636
122,0,,,14.0,14.0,1.0,14.0,0,0,1,1,1,1,0.6666666666666666,0.5008117678007893
123,0,,,5.0,5.0,1.0,5.0,0,0,1,1,1,0,0.5,0.3588885727428524
124,0,,,12.0,12.0,1.0,12.0,0,0,1,1,1,1,0.6666666666666666,0.20980661985364332
125,0,,,45.0,45.0,1.0,45.0,0,1,0,1,1,1,0.6666666666666666,0.07349413239640103
126,0,,,13.0,13.0,1.0,13.0,0,1,1,0,1,1,0.6666666666666666,0.14793278102329183
127,0,,,3.0,3.0,1.0,3.0,0,0,0,1,1,1,0.5,0.2870603594201658
128,0,,,4.0,4.0,1.0,4.0,0,1,0,1,0,1,0.5,0.16179020093200566
129,0,,,1.0,1.0,1.0,1.0,0,0,1,1,0,0,0.3333333333333333,0.19899574895637415
130,0,,,30.0,30.0,1.0,30.0,0,1,1,1,1,0,0.6666666666666666,0.0680356352061636
131,0,,,34.0,34.0,1.0,34.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
132,0,,,59.0,59.0,1.0,59.0,0,1,1,0,1,1,0.6666666666666666,0.04656444172284461
133,0,,,23.0,23.0,1.0,23.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
134,0,,,17.0,17.0,1.0,17.0,0,1,1,1,1,0,0.6666666666666666,0.0699740793846818
135,0,,,42.0,42.0,1.0,42.0,0,1,0,1,1,1,0.6666666666666666,0.07349413239640103
136,0,,,2.0,2.0,1.0,2.0,0,0,1,0,1,1,0.5,0.16172545473911848
137,0,,,12.0,12.0,1.0,12.0,0,0,1,1,1,1,0.6666666666666666,0.20980661985364332
138,0,,,31.0,31.0,1.0,31.0,0,1,0,1,1,1,0.6666666666666666,0.07349413239640103
139,0,,,0.0,0.0,1.0,0.0,1,0,1,0,1,1,0.6666666666666666,0.14767202055792925
140,0,,,33.0,33.0,1.0,33.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
141,0,,,31.0,31.0,1.0,31.0,0,1,0,1,1,1,0.6666666666666666,0.07349413239640103
142,0,,,59.0,59.0,1.0,59.0,0,1,1,0,1,1,0.6666666666666666,0.04656444172284461
143,0,,,38.0,38.0,1.0,38.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
144,0,,,19.0,19.0,1.0,19.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
145,0,,,19.0,19.0,1.0,19.0,0,1,1,1,1,0,0.6666666666666666,0.0680356352061636
146,0,,,0.0,0.0,1.0,0.0,1,0,1,0,1,1,0.6666666666666666,0.14767202055792925
147,0,,,36.0,36.0,1.0,36.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
148,0,,,21.0,21.0,1.0,21.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
149,0,,,23.0,23.0,1.0,23.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
150,0,,,0.0,0.0,1.0,0.0,1,1,1,1,0,0,0.6666666666666666,0.16163465401795954
151,0,,,38.0,38.0,1.0,38.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
152,0,,,23.0,23.0,1.0,23.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
153,0,,,42.0,42.0,1.0,42.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
154,0,,,0.0,0.0,1.0,0.0,1,0,1,0,1,1,0.6666666666666666,0.14767202055792925
155,0,,,43.0,43.0,1.0,43.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
156,0,,,37.0,37.0,1.0,37.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
157,0,,,43.0,43.0,1.0,43.0,0,0,1,1,1,1,0.6666666666666666,0.11759207883731894
158,0,,,35.0,35.0,1.0,35.0,0,1,0,1,1,1,0.6666666666666666,0.07349413239640103
159,0,,,0.0,0.0,1.0,0.0,1,0,1,1,0,1,0.6666666666666666,0.19035623516514702
