row_index,anon_id,orig_id,pred_prob,feature,feature_value,shap_value
0,436.0,436.0,0.5271079873937018,age_match,0.0,0.0
0,436.0,436.0,0.5271079873937018,education_match,0.0,0.0
0,436.0,436.0,0.5271079873937018,industry_match,0.0,0.0
0,436.0,436.0,0.5271079873937018,marital_status_match,0.0,0.0
0,436.0,436.0,0.5271079873937018,sex_match,0.0,0.0
0,436.0,436.0,0.5271079873937018,overall_similarity,0.0,0.0
0,436.0,436.0,0.5271079873937018,euclidean_distance,99998.0,0.014153248865900026
0,436.0,436.0,0.5271079873937018,manhattan_distance,99998.0,0.014161955846716368
0,436.0,436.0,0.5271079873937018,cosine_similarity,0.0,0.0
0,436.0,436.0,0.5271079873937018,industry_diff,0.0,0.0
0,436.0,436.0,0.5271079873937018,industry_equal,0.0,0.0
0,436.0,436.0,0.5271079873937018,education_diff,0.0,0.0
0,436.0,436.0,0.5271079873937018,education_equal,0.0,0.0
1,485.0,485.0,0.5271079873937018,age_match,0.0,0.0
1,485.0,485.0,0.5271079873937018,education_match,0.0,0.0
1,485.0,485.0,0.5271079873937018,industry_match,0.0,0.0
1,485.0,485.0,0.5271079873937018,marital_status_match,0.0,0.0
1,485.0,485.0,0.5271079873937018,sex_match,0.0,0.0
1,485.0,485.0,0.5271079873937018,overall_similarity,0.0,0.0
1,485.0,485.0,0.5271079873937018,euclidean_distance,99998.0,0.014153248865900026
1,485.0,485.0,0.5271079873937018,manhattan_distance,99998.0,0.014161955846716368
1,485.0,485.0,0.5271079873937018,cosine_similarity,0.0,0.0
1,485.0,485.0,0.5271079873937018,industry_diff,0.0,0.0
1,485.0,485.0,0.5271079873937018,industry_equal,0.0,0.0
1,485.0,485.0,0.5271079873937018,education_diff,0.0,0.0
1,485.0,485.0,0.5271079873937018,education_equal,0.0,0.0
2,,,0.5271079873937018,age_match,0.0,0.0
2,,,0.5271079873937018,education_match,0.0,0.0
2,,,0.5271079873937018,industry_match,0.0,0.0
2,,,0.5271079873937018,marital_status_match,0.0,0.0
2,,,0.5271079873937018,sex_match,0.0,0.0
2,,,0.5271079873937018,overall_similarity,0.0,0.0
2,,,0.5271079873937018,euclidean_distance,99998.0,0.014153248865900026
2,,,0.5271079873937018,manhattan_distance,99998.0,0.014161955846716368
2,,,0.5271079873937018,cosine_similarity,0.0,0.0
2,,,0.5271079873937018,industry_diff,0.0,0.0
2,,,0.5271079873937018,industry_equal,0.0,0.0
2,,,0.5271079873937018,education_diff,0.0,0.0
2,,,0.5271079873937018,education_equal,0.0,0.0
3,,,0.5271079873937018,age_match,0.0,0.0
3,,,0.5271079873937018,education_match,0.0,0.0
3,,,0.5271079873937018,industry_match,0.0,0.0
