pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,education_diff,education_equal,marital_status_diff,marital_status_equal,sex_diff,sex_equal,age_match,industry_match,overall_similarity,industry_diff,industry_equal,education_match,age_diff,age_equal
31,1,31.0,31.0,1.4142135623730951,2.0,0.944911182523068,1.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
32,1,32.0,32.0,36270.00034463744,36275.0,0.999999999430461,5.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,36270.0,0.0,0.0,0.0,0.0
33,1,33.0,33.0,5.0990195135927845,6.0,0.9973600960790272,5.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
34,1,34.0,34.0,47818.00021958258,47825.0,-0.08146865687321214,4.0,0.0,2.0,0,1.0,0,0.0,0.0,0.0,47818.0,0.0,0.0,0.0,0.0
35,1,35.0,35.0,43303.00012701198,43308.0,-0.08143847055924325,3.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,43303.0,0.0,0.0,0.0,0.0
36,1,36.0,36.0,7.0710678118654755,8.0,0.9258200997725514,7.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
37,1,37.0,37.0,1.0,1.0,0.9971391490106831,0.0,1.0,1.0,0,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
38,1,38.0,38.0,1.0,1.0,0.9997128499581862,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
39,1,39.0,39.0,49223.00037584056,49230.0,-0.07610366990176254,6.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,49223.0,0.0,0.0,0.0,0.0
40,1,40.0,40.0,2.0,2.0,0.9968410582470292,2.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
41,1,41.0,41.0,30092.00001661571,30093.0,0.999999937412584,1.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,30092.0,0.0,0.0,0.0,0.0
42,1,42.0,42.0,47820.00010455876,47824.0,-0.09697421599899414,3.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,47820.0,0.0,0.0,0.0,0.0
43,1,43.0,43.0,1.7320508075688772,3.0,0.991117008818872,1.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1,44.0,44.0,7.280109889280518,9.0,0.6491134836118732,7.0,0.0,2.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
45,1,45.0,45.0,9.055385138137417,10.0,0.9178146529232246,9.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
46,1,46.0,46.0,1.7320508075688772,3.0,0.978231976089037,1.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1,47.0,47.0,85493.00009942334,85498.0,-0.08962617875947654,4.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,85493.0,0.0,0.0,0.0,0.0
48,1,48.0,48.0,30920.000420439843,30926.0,0.9999999997549752,5.0,0.0,0.0,1,1.0,0,0.0,0.0,0.2,30920.0,0.0,0.0,0.0,0.0
49,1,49.0,49.0,1.0,1.0,0.9971391490106831,0.0,1.0,1.0,0,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
50,1,50.0,50.0,1.4142135623730951,2.0,0.9961359100851457,1.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
51,1,51.0,51.0,49233.000111713685,49238.0,-0.10700219418332524,1.0,0.0,3.0,0,1.0,0,0.0,0.0,0.0,49233.0,0.0,0.0,0.0,0.0
52,1,52.0,52.0,18221.00016464519,18225.0,0.9999999798068497,2.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,18221.0,0.0,0.0,0.0,0.0
53,1,53.0,53.0,12800.00324218709,12811.0,0.9999999886097176,9.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,12800.0,0.0,0.0,0.0,0.0
54,1,54.0,54.0,4.123105625617661,5.0,0.9969405307028008,4.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0
55,1,55.0,55.0,2.449489742783178,4.0,0.9542374472273958,2.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,1,56.0,56.0,0.0,0.0,1.0,0.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
57,1,57.0,57.0,35131.000042697335,35134.0,0.9999998257122552,1.0,0.0,1.0,0,1.0,0,0.0,0.0,0.0,35131.0,0.0,0.0,0.0,0.0
58,1,58.0,58.0,10506.000475918512,10510.0,-0.06052161764750119,3.0,0.0,1.0,0,0.0,1,0.0,0.0,0.2,10506.0,0.0,0.0,0.0,0.0
59,1,59.0,59.0,10.0,10.0,0.14002800840280094,10.0,0.0,0.0,1,0.0,1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
