district,sector,month,strata,psu,snumber,hhno,nhh,result,person_serial_no,residence,relationship,sex,birth_year,birth_month,age,registration,ethnicity,religion,marital_status,curr_educ,education,main_activity,is_active,finalweight,B_year
62,2,12,622,162036,7,1,1,1,2,Now,Wife/Husband,Male,81,3,38,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10,Engaged in economic activity,No,439.6687241,1981
62,2,1,622,162037,1,1,1,1,1,Yes,Head of the household,Male,66,11,52,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent,Engaged in economic activity,Yes,387.7740271,1966
62,2,1,622,162037,1,1,1,1,2,Yes,Wife/Husband,Female,75,5,43,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10,Engaged in economic activity,Yes,387.7740271,1975
62,2,1,622,162037,1,1,1,1,3,Yes,Son/Daughter,Male,5,11,13,1,Sinhala,Buddhist,Never Married,School,Passed Grade 7,Engaged in economic activity,No,387.7740271,2005
62,2,1,622,162037,1,1,1,1,4,Yes,Son/Daughter,Male,12,5,6,1,Sinhala,Buddhist,Never Married,School,Passed Grade 1,Engaged in economic activity,No,387.7740271,2012
62,2,1,622,162037,1,1,1,1,5,Yes,Parent of head/spouse,Female,48,6,70,1,Sinhala,Buddhist,Widowed,Does not attend,Passed Grade 2,Other,No,387.7740271,1948
62,2,1,622,162037,1,1,1,1,6,Yes,Other Relative,Female,97,8,21,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent,Engaged in economic activity,Yes,387.7740271,1997
62,2,1,622,162037,1,1,1,1,7,Yes,Other Relative,Female,98,12,20,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10,Engaged in economic activity,Yes,387.7740271,1998
62,2,1,622,162037,1,1,1,1,8,Yes,Other Relative,Male,2,4,16,1,Sinhala,Buddhist,Never Married,Pending G.C.E.(O/L or A/L),Passed Grade 10,Too old / Disabled,No,387.7740271,2002
62,2,1,622,162037,5,1,1,1,1,Yes,Head of the household,Female,43,10,75,1,Sinhala,Roman Catholic,Widowed,Does not attend,Passed Grade 7,Other,No,387.7740271,1943
62,2,1,622,162037,9,1,1,1,1,Yes,Head of the household,Male,75,8,43,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 3,Engaged in economic activity,Yes,387.7740271,1975
62,2,1,622,162037,9,1,1,1,2,Yes,Wife/Husband,Female,78,4,40,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 10,Engaged in economic activity,Yes,387.7740271,1978
62,2,1,622,162037,9,1,1,1,3,Yes,Son/Daughter,Female,1,2,17,1,Sinhala,Buddhist,Never Married,Does not attend,Passed Grade 10,Student,No,387.7740271,2001
62,2,1,622,162037,9,1,1,1,4,Yes,Son/Daughter,Male,6,10,12,1,Sinhala,Buddhist,Never Married,School,Passed Grade 7,Engaged in economic activity,No,387.7740271,2006
62,2,1,622,162037,9,1,1,1,5,Yes,Son/Daughter,Male,15,6,3,1,Sinhala,Buddhist,Never Married,Does not attend,Passed Grade 10,Engaged in economic activity,No,387.7740271,2015
62,2,2,622,162038,4,1,1,1,1,Yes,Head of the household,Male,66,3,52,1,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,No Schooling,Engaged in economic activity,Yes,289.5841038,1966
62,2,2,622,162038,4,1,1,1,2,Yes,Wife/Husband,Female,68,8,50,1,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 1,Student,No,289.5841038,1968
62,2,2,622,162038,4,1,1,1,3,Yes,Son/Daughter,Male,91,9,27,1,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 7,Engaged in economic activity,Yes,289.5841038,1991
62,2,2,622,162038,4,1,1,1,4,Yes,Other Relative,Female,94,5,24,1,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 10,Student,No,289.5841038,1994
62,2,2,622,162038,4,1,1,1,5,Yes,Other Relative,Male,14,8,4,1,Sinhala,Roman Catholic,Never Married,Pre School,Passed Grade 10,Engaged in economic activity,No,289.5841038,2014
62,2,2,622,162038,9,1,1,1,1,Yes,Head of the household,Female,79,5,39,1,Sinhala,Buddhist,Legally Separated,Does not attend,Passed Grade 8,Engaged in economic activity,Yes,289.5841038,1979
62,2,2,622,162038,9,1,1,1,2,Yes,Son/Daughter,Male,97,10,21,1,Sinhala,Buddhist,Never Married,Does not attend,Passed Grade 10,Engaged in economic activity,Yes,289.5841038,1997
62,2,2,622,162038,9,1,1,1,3,Yes,Other Relative,Female,0,9,18,1,Sinhala,Buddhist,Never Married,Does not attend,Passed Grade 10,Student,No,289.5841038,2000
62,2,2,622,162038,9,1,1,1,4,Yes,Son/Daughter,Female,1,3,17,1,Sinhala,Buddhist,Never Married,Does not attend,Passed G.C.E (O/L) or equivalent,Student,No,289.5841038,2001
62,2,2,622,162039,3,1,1,1,1,Yes,Head of the household,Male,80,5,38,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 6,Engaged in economic activity,Yes,375.0470847,1980
62,2,2,622,162039,3,1,1,1,2,Yes,Wife/Husband,Female,83,3,35,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed Grade 7,Engaged in economic activity,Yes,375.0470847,1983
62,2,2,622,162039,3,1,1,1,3,Yes,Son/Daughter,Male,3,2,16,1,Sinhala,Buddhist,Never Married,School,Passed Grade 10,Too old / Disabled,No,375.0470847,2003
62,2,2,622,162039,3,1,1,1,4,Yes,Parent of head/spouse,Female,64,6,54,1,Sinhala,Buddhist,Widowed,Does not attend,No Schooling,Student,No,375.0470847,1964
62,2,2,622,162039,7,1,1,1,1,Yes,Head of the household,Female,62,6,56,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent,Engaged in economic activity,Yes,375.0470847,1962
62,2,2,622,162039,7,1,1,1,2,Yes,Parent of head/spouse,Female,36,8,82,1,Sinhala,Buddhist,Widowed,Does not attend,Passed G.C.E (O/L) or equivalent,Student,No,375.0470847,1936
62,2,2,622,162039,7,1,1,1,3,Now,Wife/Husband,Male,57,1,62,1,Sinhala,Buddhist,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent,Engaged in economic activity,No,375.0470847,1957
62,2,3,622,162040,3,1,1,1,1,Yes,Head of the household,Male,77,2,42,1,Sri Lankan Tamil,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 5,Engaged in economic activity,Yes,416.3954434,1977
62,2,3,622,162040,3,1,1,1,2,Yes,Wife/Husband,Female,79,2,40,1,Sri Lankan Tamil,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 5,Engaged in economic activity,Yes,416.3954434,1979
62,2,3,622,162040,3,1,1,1,3,Yes,Son/Daughter,Male,99,8,19,1,Sri Lankan Moors/Muslim,Hindu,Never Married,Does not attend,Passed Grade 8,Student,No,416.3954434,1999
62,2,3,622,162040,3,1,1,1,4,Yes,Son/Daughter,Male,1,12,17,1,Sri Lankan Tamil,Roman Catholic,Never Married,School,Passed G.C.E (O/L) or equivalent,Too old / Disabled,No,416.3954434,2001
62,2,3,622,162040,7,1,1,1,1,Yes,Head of the household,Male,63,8,55,1,Sri Lankan Tamil,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 10,Engaged in economic activity,Yes,416.3954434,1963
62,2,3,622,162040,7,1,1,1,2,Yes,Wife/Husband,Female,72,8,46,1,Sri Lankan Tamil,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 9,Student,No,416.3954434,1972
62,2,3,622,162040,7,1,1,1,3,Yes,Son/Daughter,Female,92,5,26,1,Sri Lankan Tamil,Roman Catholic,Never Married,Does not attend,Passed G.C.E (A/L) or equivalent,Student,No,416.3954434,1992
62,2,4,622,162041,2,1,1,1,1,Yes,Head of the household,Female,91,12,27,1,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 12,Student,No,357.9539777,1991
62,2,4,622,162041,2,1,1,1,2,Now,Wife/Husband,Male,91,2,28,1,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed G.C.E (A/L) or equivalent,Engaged in economic activity,No,357.9539777,1991
62,2,4,622,162041,2,1,1,1,3,Yes,Son/Daughter,Male,17,5,1,1,Sinhala,Roman Catholic,Never Married,Does not attend,Passed Grade 10,Engaged in economic activity,No,357.9539777,2017
62,2,4,622,162041,2,1,1,1,4,Yes,Other Relative,Male,68,6,50,1,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 4,Engaged in economic activity,Yes,357.9539777,1968
62,2,4,622,162041,2,1,1,1,5,Yes,Other Relative,Female,73,3,46,1,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 5,Student,No,357.9539777,1973
62,2,4,622,162041,2,1,1,1,6,Yes,Other Relative,Male,98,4,21,1,Sinhala,Roman Catholic,Never Married,Does not attend,Passed Grade 10,Engaged in economic activity,Yes,357.9539777,1998
62,2,4,622,162041,2,1,1,1,7,Yes,Other Relative,Male,1,8,17,1,Sinhala,Roman Catholic,Never Married,Does not attend,Passed Grade 6,Student,No,357.9539777,2001
62,2,4,622,162041,6,1,1,1,1,Yes,Head of the household,Male,53,7,65,1,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 10,"Retired (Private, no pension)",No,357.9539777,1953
62,2,4,622,162041,6,1,1,1,2,Yes,Wife/Husband,Female,59,3,60,2,Sinhala,Roman Catholic,Currently Married (Registered),Does not attend,Passed Grade 10,Student,No,357.9539777,1959
62,1,5,621,162042,4,1,1,1,1,Yes,Head of the household,Male,90,9,28,1,Sri Lankan Moors/Muslim,Islam,Currently Married (Registered),Does not attend,Passed Grade 9,Engaged in economic activity,Yes,324.7316933,1990
62,1,5,621,162042,4,1,1,1,2,Yes,Wife/Husband,Female,95,2,24,1,Sri Lankan Moors/Muslim,Islam,Currently Married (Registered),Does not attend,Passed Grade 8,Student,No,324.7316933,1995
62,1,5,621,162042,4,1,1,1,3,Yes,Son/Daughter,Male,16,3,3,1,Sri Lankan Moors/Muslim,Islam,Never Married,Does not attend,Passed Grade 10,Engaged in economic activity,No,324.7316933,2016
62,1,5,621,162042,4,1,1,1,4,Yes,Son/Daughter,Female,18,1,1,1,Sri Lankan Moors/Muslim,Islam,Never Married,Does not attend,Passed Grade 10,Engaged in economic activity,No,324.7316933,2018
