district,sector,month,psu,snumber,hhno,nhh,result,person_serial_no,residence,relationship,sex,birth_year,birth_month,age,registration,ethnicity,religion,marital_status,curr_educ,education,main_activity,is_active,main_occupation,industry,employment_status,uresidencf,live,finalweight,B_year
11,*,1,11,1,1,1,1,3,1,3,*,11,9,*,1,4,3,*,9.0,*,1.0,1.0,5211.0,*,3.0,,,298.0423127,11
11,Bin_1,1,11,1,1,1,1,4,1,3,Bin_1,11,1,Bin_2,1,4,3,Bin_1,4.0,Bin_4,8.0,2.0,,,,,,298.0423127,11
11,Bin_1,1,11,1,1,1,1,5,1,3,Bin_1,11,2,Bin_1,1,4,3,Bin_1,2.0,Bin_3,,,,,,,,298.0423127,11
11,Bin_1,1,11,2,1,1,1,1,1,1,Bin_1,11,3,Bin_4,1,4,3,Bin_1,9.0,Bin_4,4.0,2.0,,,,,,298.0423127,11
11,Bin_1,1,11,2,1,1,1,2,1,2,Bin_5,11,9,Bin_4,1,4,3,Bin_1,9.0,Bin_3,7.0,2.0,,,,,,298.0423127,11
11,*,1,11,2,1,1,1,3,1,3,*,11,1,*,1,4,3,*,9.0,*,1.0,1.0,2330.0,*,1.0,,,298.0423127,11
11,Bin_1,1,11,2,1,1,1,4,1,3,Bin_5,11,8,Bin_2,1,4,3,Bin_1,3.0,Bin_4,8.0,2.0,,,,,,298.0423127,11
11,Bin_1,1,11,2,1,1,1,5,1,5,Bin_5,11,1,Bin_1,1,4,3,Bin_1,1.0,,,,,,,,,298.0423127,11
11,Bin_1,1,11,3,1,1,1,1,1,1,Bin_5,11,12,Bin_4,1,4,3,Bin_3,9.0,Bin_3,7.0,2.0,,,,,,298.0423127,11
11,*,1,11,4,1,1,1,1,1,1,*,11,5,*,1,1,1,*,9.0,*,1.0,1.0,9112.0,*,3.0,,,298.0423127,11
11,Bin_1,1,11,4,1,1,1,2,1,2,Bin_5,11,4,Bin_4,1,1,1,Bin_1,9.0,Bin_3,7.0,2.0,,,,,,298.0423127,11
11,Bin_1,1,11,4,1,1,1,3,1,5,Bin_5,11,6,Bin_5,1,1,1,Bin_3,9.0,Bin_2,9.0,2.0,,,,,,298.0423127,11
11,*,1,11,4,1,1,1,4,1,3,*,11,9,*,1,1,1,*,9.0,*,1.0,1.0,4110.0,*,1.0,,,298.0423127,11
11,Bin_1,1,11,4,1,1,1,5,1,5,Bin_5,11,8,Bin_2,1,1,1,Bin_1,9.0,Bin_4,7.0,2.0,,,,,,298.0423127,11
11,Bin_1,1,11,4,1,1,1,6,1,5,Bin_5,11,8,Bin_1,1,1,1,Bin_1,2.0,Bin_3,8.0,2.0,,,,,,298.0423127,11
11,Bin_1,1,11,4,1,1,1,7,1,5,Bin_1,11,11,Bin_1,1,1,1,Bin_1,2.0,Bin_1,,,,,,,,298.0423127,11
11,Bin_1,1,11,5,1,1,1,1,1,1,Bin_1,11,6,Bin_3,1,1,1,Bin_1,9.0,Bin_4,4.0,2.0,,,,,,298.0423127,11
11,Bin_1,1,11,5,1,1,1,2,1,2,Bin_5,11,6,Bin_3,1,1,1,Bin_1,9.0,Bin_3,7.0,2.0,,,,,,298.0423127,11
11,*,1,11,5,1,1,1,3,1,3,*,11,8,*,1,1,1,*,9.0,*,1.0,1.0,3349.0,*,3.0,,,298.0423127,11
11,Bin_1,1,11,5,1,1,1,4,1,3,Bin_1,11,7,Bin_2,1,1,1,Bin_1,2.0,Bin_4,8.0,2.0,,,,,,298.0423127,11
11,Bin_1,1,11,6,1,1,1,1,1,1,Bin_5,11,6,Bin_5,1,1,1,Bin_1,9.0,Bin_3,9.0,2.0,,,,,,298.0423127,11
11,Bin_1,1,11,6,1,1,1,2,1,2,Bin_1,11,3,Bin_5,1,1,1,Bin_1,9.0,Bin_2,9.0,2.0,,,,,,298.0423127,11
11,*,1,11,6,1,1,1,3,1,3,*,11,4,*,1,1,1,*,9.0,*,1.0,1.0,8152.0,*,3.0,,,298.0423127,11
11,Bin_1,1,11,9,1,1,1,1,1,1,Bin_1,11,7,Bin_3,1,1,4,Bin_1,9.0,Bin_4,1.0,1.0,7116.0,Bin_3,3.0,,,298.0423127,11
11,*,1,11,9,1,1,1,2,1,2,*,11,5,*,1,1,4,*,9.0,*,1.0,1.0,9112.0,*,1.0,,,298.0423127,11
11,*,1,11,9,1,1,1,3,1,3,*,11,3,*,1,1,4,*,9.0,*,1.0,1.0,2342.0,*,3.0,,,298.0423127,11
11,*,1,11,1,1,1,1,1,1,1,*,11,11,*,1,1,1,*,9.0,*,1.0,1.0,3115.0,*,3.0,,,271.9852019,11
11,*,1,11,1,1,1,1,2,1,2,*,11,12,*,1,1,1,*,9.0,*,1.0,1.0,5221.0,*,5.0,,,271.9852019,11
11,Bin_1,1,11,1,1,1,1,3,1,3,Bin_1,11,5,Bin_1,1,1,1,Bin_1,2.0,Bin_1,,,,,,,,271.9852019,11
11,Bin_1,1,11,1,1,1,1,4,1,3,Bin_1,11,10,Bin_1,1,1,1,Bin_1,2.0,Bin_1,,,,,,,,271.9852019,11
11,Bin_1,1,11,1,1,1,1,5,1,4,Bin_5,11,6,Bin_5,1,1,1,Bin_3,9.0,Bin_2,9.0,2.0,,,,,,271.9852019,11
