pair_index,label,orig_id,anon_id,euclidean_distance,manhattan_distance,cosine_similarity,sector_diff,sector_equal,r2_school_education_match,type_of_school_match,overall_similarity,attack_score
57,1,57.0,57.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
58,1,58.0,58.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
59,1,47.0,47.0,0.0,0.0,1.0,0.0,1,1,1,1.0,0.9440355537166484
60,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
61,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666,0.034018938484965365
62,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666,0.034018938484965365
63,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
64,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
65,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
66,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
67,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666,0.034018938484965365
68,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666,0.034018938484965365
69,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
70,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666,0.034018938484965365
71,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
72,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
73,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
74,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666,0.034018938484965365
75,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666,0.034018938484965365
76,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
77,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
78,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
79,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
80,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
81,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
82,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
83,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
84,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666,0.034018938484965365
85,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666,0.034018938484965365
86,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666,0.034018938484965365
87,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
88,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
89,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
90,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
91,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
92,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
93,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
94,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
95,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
96,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
97,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
98,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
99,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666,0.034018938484965365
100,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
101,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
102,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
103,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
104,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
105,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
106,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
107,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
108,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666,0.034018938484965365
109,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666,0.034018938484965365
110,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
111,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666,0.034018938484965365
112,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
113,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
114,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
115,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
116,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
117,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
118,0,,,0.0,0.0,1.0,0.0,1,0,1,0.6666666666666666,0.06096677583538599
119,0,,,1.0,1.0,1.0,1.0,0,1,1,0.6666666666666666,0.034018938484965365
