anon_id,max_attack_score,mean_attack_score,pair_count,risk_level
0.0,0.9162504728530324,0.9162504728530324,1,critical
1.0,0.9162504728530324,0.9162504728530324,1,critical
2.0,0.9162504728530324,0.9162504728530324,1,critical
3.0,0.9162504728530324,0.9162504728530324,1,critical
4.0,0.9162504728530324,0.9162504728530324,1,critical
5.0,0.9162504728530324,0.9162504728530324,1,critical
6.0,0.9162504728530324,0.9162504728530324,1,critical
7.0,0.9162504728530324,0.9162504728530324,1,critical
8.0,0.7542392665939311,0.7542392665939311,1,low
9.0,0.9162504728530324,0.9162504728530324,1,critical
10.0,0.9162504728530324,0.9162504728530324,1,critical
11.0,0.9162504728530324,0.9162504728530324,1,critical
12.0,0.9162504728530324,0.9162504728530324,1,critical
13.0,0.9162504728530324,0.9162504728530324,1,critical
14.0,0.9162504728530324,0.9162504728530324,1,critical
15.0,0.9162504728530324,0.9162504728530324,1,critical
16.0,0.9162504728530324,0.9162504728530324,1,critical
17.0,0.9162504728530324,0.9162504728530324,1,critical
18.0,0.9162504728530324,0.9162504728530324,1,critical
19.0,0.9162504728530324,0.9162504728530324,1,critical
20.0,0.9162504728530324,0.9162504728530324,1,critical
21.0,0.9162504728530324,0.9162504728530324,1,critical
22.0,0.2701279481582327,0.2701279481582327,1,low
23.0,0.9162504728530324,0.9162504728530324,1,critical
24.0,0.9162504728530324,0.9162504728530324,1,critical
25.0,0.9162504728530324,0.9162504728530324,1,critical
26.0,0.8514609366062268,0.8514609366062268,1,low
27.0,0.8345357023755519,0.8345357023755519,1,low
28.0,0.9162504728530324,0.9162504728530324,1,critical
29.0,0.9162504728530324,0.9162504728530324,1,critical
30.0,0.9162504728530324,0.9162504728530324,1,critical
31.0,0.41093493663544906,0.41093493663544906,1,low
32.0,0.9162504728530324,0.9162504728530324,1,critical
33.0,0.9162504728530324,0.9162504728530324,1,critical
34.0,0.9162504728530324,0.9162504728530324,1,critical
35.0,0.9162504728530324,0.9162504728530324,1,critical
36.0,0.9162504728530324,0.9162504728530324,1,critical
37.0,0.9162504728530324,0.9162504728530324,1,critical
38.0,0.9162504728530324,0.9162504728530324,1,critical
39.0,0.9162504728530324,0.9162504728530324,1,critical
40.0,0.9162504728530324,0.9162504728530324,1,critical
41.0,0.9162504728530324,0.9162504728530324,1,critical
42.0,0.9162504728530324,0.9162504728530324,1,critical
43.0,0.9162504728530324,0.9162504728530324,1,critical
44.0,0.9162504728530324,0.9162504728530324,1,critical
45.0,0.9162504728530324,0.9162504728530324,1,critical
46.0,0.9162504728530324,0.9162504728530324,1,critical
47.0,0.9162504728530324,0.9162504728530324,1,critical
48.0,0.9162504728530324,0.9162504728530324,1,critical
49.0,0.9162504728530324,0.9162504728530324,1,critical
50.0,0.9162504728530324,0.9162504728530324,1,critical
51.0,0.9162504728530324,0.9162504728530324,1,critical
52.0,0.40112063026244466,0.40112063026244466,1,low
54.0,0.9162504728530324,0.9162504728530324,1,critical
55.0,0.9162504728530324,0.9162504728530324,1,critical
56.0,0.9162504728530324,0.9162504728530324,1,critical
57.0,0.9162504728530324,0.9162504728530324,1,critical
58.0,0.9162504728530324,0.9162504728530324,1,critical
59.0,0.9162504728530324,0.9162504728530324,1,critical
60.0,0.9162504728530324,0.9162504728530324,1,critical
61.0,0.9162504728530324,0.9162504728530324,1,critical
62.0,0.9162504728530324,0.9162504728530324,1,critical
63.0,0.9162504728530324,0.9162504728530324,1,critical
64.0,0.9162504728530324,0.9162504728530324,1,critical
65.0,0.9162504728530324,0.9162504728530324,1,critical
66.0,0.9162504728530324,0.9162504728530324,1,critical
67.0,0.9162504728530324,0.9162504728530324,1,critical
68.0,0.9162504728530324,0.9162504728530324,1,critical
69.0,0.9162504728530324,0.9162504728530324,1,critical
70.0,0.9162504728530324,0.9162504728530324,1,critical
71.0,0.9162504728530324,0.9162504728530324,1,critical
72.0,0.9162504728530324,0.9162504728530324,1,critical
73.0,0.9162504728530324,0.9162504728530324,1,critical
74.0,0.272459429562344,0.272459429562344,1,low
82.0,0.08614862739641405,0.08614862739641405,1,low
85.0,0.11102788089393519,0.11102788089393519,1,low
87.0,0.38738100487127136,0.38738100487127136,1,low
88.0,0.21053810696323935,0.21053810696323935,1,low
