anon_id,max_attack_score,mean_attack_score,pair_count,risk_level
0.0,0.9350671432087099,0.9350671432087099,1,critical
1.0,0.9001699430590105,0.9001699430590105,1,low
2.0,0.9268526128351858,0.9268526128351858,1,medium
3.0,0.8603207798055483,0.8603207798055483,1,low
4.0,0.9179310397453698,0.9179310397453698,1,low
5.0,0.9335020191651221,0.9335020191651221,1,high
6.0,0.9308808388685929,0.9308808388685929,1,medium
7.0,0.8744055865608776,0.8744055865608776,1,low
8.0,0.7710382250793385,0.7710382250793385,1,low
9.0,0.9343487604049275,0.9343487604049275,1,high
10.0,0.9348209489983232,0.9348209489983232,1,high
11.0,0.8733601086392536,0.8733601086392536,1,low
12.0,0.9333882220630013,0.9333882220630013,1,high
13.0,0.9344250585451134,0.9344250585451134,1,high
14.0,0.9275299510645048,0.9275299510645048,1,medium
15.0,0.9340752878784926,0.9340752878784926,1,high
16.0,0.7643134349074431,0.7643134349074431,1,low
17.0,0.927965249205512,0.927965249205512,1,medium
18.0,0.15343735686752355,0.15343735686752355,1,low
19.0,0.9274207526885156,0.9274207526885156,1,medium
20.0,0.9328722578272458,0.9328722578272458,1,high
21.0,0.9273964542279862,0.9273964542279862,1,medium
22.0,0.9344612009243218,0.9344612009243218,1,high
23.0,0.9328766184400977,0.9328766184400977,1,high
24.0,0.8560592817373821,0.8560592817373821,1,low
25.0,0.8957881843886742,0.8957881843886742,1,low
26.0,0.9183776166492562,0.9183776166492562,1,medium
27.0,0.9338471142093813,0.9338471142093813,1,high
28.0,0.2641060651244514,0.2641060651244514,1,low
29.0,0.9145166838939688,0.9145166838939688,1,low
30.0,0.919871492284035,0.919871492284035,1,medium
31.0,0.9141279954824717,0.9141279954824717,1,low
32.0,0.7690559778443076,0.7690559778443076,1,low
33.0,0.9282090399997257,0.9282090399997257,1,medium
34.0,0.9325877524981765,0.9325877524981765,1,medium
35.0,0.9355104796659256,0.9355104796659256,1,critical
36.0,0.921719162897927,0.921719162897927,1,medium
37.0,0.8656105450916582,0.8656105450916582,1,low
38.0,0.4510798627128268,0.4510798627128268,1,low
39.0,0.9328749801894335,0.9328749801894335,1,high
40.0,0.20747477836154507,0.20747477836154507,1,low
41.0,0.3975437814266452,0.3975437814266452,1,low
42.0,0.9327715099113684,0.9327715099113684,1,medium
43.0,0.9316515380101503,0.9316515380101503,1,medium
44.0,0.8792262693493518,0.8792262693493518,1,low
45.0,0.8669738658743601,0.8669738658743601,1,low
46.0,0.9312045610496823,0.9312045610496823,1,medium
47.0,0.8588225251434952,0.8588225251434952,1,low
48.0,0.90719353456995,0.90719353456995,1,low
49.0,0.8656105450916582,0.8656105450916582,1,low
50.0,0.9185964704443146,0.9185964704443146,1,medium
51.0,0.9321472249627923,0.9321472249627923,1,medium
52.0,0.9323642462192808,0.9323642462192808,1,medium
53.0,0.8695677144099934,0.8695677144099934,1,low
54.0,0.9258050130671394,0.9258050130671394,1,medium
55.0,0.9309728374788634,0.9309728374788634,1,medium
56.0,0.23442456050912971,0.23442456050912971,1,low
57.0,0.9316515380101503,0.9316515380101503,1,medium
58.0,0.9325690540265376,0.9325690540265376,1,medium
59.0,0.787423318287443,0.787423318287443,1,low
60.0,0.8798155198372474,0.8798155198372474,1,low
61.0,0.2220658809462722,0.2220658809462722,1,low
62.0,0.9315682030840612,0.9315682030840612,1,medium
63.0,0.8635530893833545,0.8635530893833545,1,low
64.0,0.7827973597042156,0.7827973597042156,1,low
65.0,0.9314473614854138,0.9314473614854138,1,medium
66.0,0.8873816388696824,0.8873816388696824,1,low
67.0,0.9355104796659256,0.9355104796659256,1,critical
68.0,0.5007012416689037,0.5007012416689037,1,low
69.0,0.24351809194429477,0.24351809194429477,1,low
70.0,0.9185964704443146,0.9185964704443146,1,medium
71.0,0.9070149682885388,0.9070149682885388,1,low
72.0,0.7838626181558926,0.7838626181558926,1,low
73.0,0.9348275515226544,0.9348275515226544,1,high
74.0,0.9056355449802801,0.9056355449802801,1,low
75.0,0.9295236697573057,0.9295236697573057,1,medium
76.0,0.8992512704879424,0.8992512704879424,1,low
77.0,0.9330970328990517,0.9330970328990517,1,high
78.0,0.787423318287443,0.787423318287443,1,low
79.0,0.6494968334064605,0.6494968334064605,1,low
80.0,0.9149579481247345,0.9149579481247345,1,low
81.0,0.9118900264980105,0.9118900264980105,1,low
82.0,0.9355104796659256,0.9355104796659256,1,critical
83.0,0.9350671432087099,0.9350671432087099,1,critical
84.0,0.4505673417838767,0.4505673417838767,1,low
85.0,0.8541148812742604,0.8541148812742604,1,low
